"","Address","Zip","List.Price","Close.Price","BRs","Bas","Half.BA","CloseDate","Date","year","month","MY","StrAddress"
"1","0 13TH ST NE",20002,129500,101500,"0","0","0","9/23/14",2014-09-23,2014,9,"2014 9","0 13TH ST NE"
"2","0 BANCROFT PL NW",20008,1350000,1350000,"1","1","0","8/23/12",2012-08-23,2012,8,"2012 8","0 BANCROFT PL NW"
"3","1 14TH ST NE #1",20002,337000,327250,"1","1","0","11/10/11",2011-11-10,2011,11,"2011 11","1 14TH ST NE"
"4","1 14TH ST NE #1",20002,409000,399999,"1","1","0","10/7/13",2013-10-07,2013,10,"2013 10","1 14TH ST NE"
"5","1 18TH ST SE #104",20003,309000,309000,"2","2","0","6/26/13",2013-06-26,2013,6,"2013 6","1 18TH ST SE"
"6","1 18TH ST SE #104",20003,379000,390000,"2","2","0","3/24/15",2015-03-24,2015,3,"2015 3","1 18TH ST SE"
"7","1 18TH ST SE #203",20003,360000,352500,"2","2","0","5/31/13",2013-05-31,2013,5,"2013 5","1 18TH ST SE"
"8","1 18TH ST SE #301",20003,424900,422000,"2","2","0","10/30/13",2013-10-30,2013,10,"2013 10","1 18TH ST SE"
"9","1 18TH ST SE #303",20003,369900,370000,"2","2","0","12/17/13",2013-12-17,2013,12,"2013 12","1 18TH ST SE"
"10","1 18TH ST SE #304",20003,359900,362000,"2","2","0","7/3/12",2012-07-03,2012,7,"2012 7","1 18TH ST SE"
"11","1 CRITTENDEN ST NE",20011,374000,386000,"3","2","0","4/12/13",2013-04-12,2013,4,"2013 4","1 CRITTENDEN ST NE"
"12","1 DERBY LN SE",20003,674900,758000,"2","2","1","3/10/14",2014-03-10,2014,3,"2014 3","1 DERBY LN SE"
"13","1 GESSFORD CT SE",20003,380000,455000,"2","1","0","2/11/13",2013-02-11,2013,2,"2013 2","1 GESSFORD CT SE"
"14","1 HAWTHORNE CT NE #1",20017,255000,250000,"2","2","1","7/11/12",2012-07-11,2012,7,"2012 7","1 HAWTHORNE CT NE"
"15","1 LOGAN CIR NW #8",20005,949000,949000,"2","2","0","6/7/13",2013-06-07,2013,6,"2013 6","1 LOGAN CIR NW"
"16","1 LOGAN CIRCLE NW #7",20005,995000,1015000,"2","2","0","7/22/13",2013-07-22,2013,7,"2013 7","1 LOGAN CIRCLE NW"
"17","1 MISSOURI AVE NW",20011,449900,385000,"3","2","1","2/11/14",2014-02-11,2014,2,"2014 2","1 MISSOURI AVE NW"
"18","1 RHODE ISLAND AVE NE",20002,599000,636500,"4","3","1","7/13/12",2012-07-13,2012,7,"2012 7","1 RHODE ISLAND AVE NE"
"19","1 SCOTT CIR NW #101",20036,299900,299900,"1","1","0","2/27/14",2014-02-27,2014,2,"2014 2","1 SCOTT CIR NW"
"20","1 SCOTT CIR NW #104",20036,248000,262500,"1","1","0","5/14/15",2015-05-14,2015,5,"2015 5","1 SCOTT CIR NW"
"21","1 SCOTT CIR NW #106",20036,269900,265000,"1","1","0","11/15/13",2013-11-15,2013,11,"2013 11","1 SCOTT CIR NW"
"22","1 SCOTT CIR NW #113",20036,219900,225000,"1","1","0","4/25/13",2013-04-25,2013,4,"2013 4","1 SCOTT CIR NW"
"23","1 SCOTT CIR NW #116",20036,239900,232500,"1","1","0","7/20/12",2012-07-20,2012,7,"2012 7","1 SCOTT CIR NW"
"24","1 SCOTT CIR NW #120",20036,214900,209300,"1","1","0","6/24/11",2011-06-24,2011,6,"2011 6","1 SCOTT CIR NW"
"25","1 SCOTT CIR NW #205",20036,224900,224900,"1","1","0","2/20/15",2015-02-20,2015,2,"2015 2","1 SCOTT CIR NW"
"26","1 SCOTT CIR NW #206",20036,229995,225000,"1","1","0","11/14/12",2012-11-14,2012,11,"2012 11","1 SCOTT CIR NW"
"27","1 SCOTT CIR NW #207",20036,190000,197000,"0","1","0","1/9/12",2012-01-09,2012,1,"2012 1","1 SCOTT CIR NW"
"28","1 SCOTT CIR NW #210",20036,224900,226000,"1","1","0","7/8/11",2011-07-08,2011,7,"2011 7","1 SCOTT CIR NW"
"29","1 SCOTT CIR NW #211",20036,249900,247000,"1","1","0","1/21/14",2014-01-21,2014,1,"2014 1","1 SCOTT CIR NW"
"30","1 SCOTT CIR NW #211",20036,239900,239900,"1","1","0","5/22/12",2012-05-22,2012,5,"2012 5","1 SCOTT CIR NW"
"31","1 SCOTT CIR NW #213",20036,254000,257620,"1","1","0","12/16/14",2014-12-16,2014,12,"2014 12","1 SCOTT CIR NW"
"32","1 SCOTT CIR NW #215",20036,214900,222000,"1","1","0","6/5/13",2013-06-05,2013,6,"2013 6","1 SCOTT CIR NW"
