"","ward","variable","value","Outer"
"1",1,"Bper",0.931063624290716,"Brick"
"2",2,"Bper",0.838816882685278,"Brick"
"3",3,"Bper",0.624344827586207,"Brick"
"4",4,"Bper",0.823039623842876,"Brick"
"5",5,"Bper",0.720110344827586,"Brick"
"6",6,"Bper",0.888039117352056,"Brick"
"7",7,"Bper",0.717227087372151,"Brick"
"8",8,"Bper",0.612180974477958,"Brick"
"9",1,"BVper",0.0172642762284197,"Brick Veneer or Combination"
"10",2,"BVper",0.063143901628448,"Brick Veneer or Combination"
"11",3,"BVper",0.11,"Brick Veneer or Combination"
"12",4,"BVper",0.0475584072096782,"Brick Veneer or Combination"
"13",5,"BVper",0.0804413793103448,"Brick Veneer or Combination"
"14",6,"BVper",0.0465145436308927,"Brick Veneer or Combination"
"15",7,"BVper",0.0962631191924594,"Brick Veneer or Combination"
"16",8,"BVper",0.13584686774942,"Brick Veneer or Combination"
"17",1,"Oper",0.00482916817578172,"Other"
"18",2,"Oper",0.00415420405450316,"Other"
"19",3,"Oper",0.00475862068965517,"Other"
"20",4,"Oper",0.00254689719351521,"Other"
"21",5,"Oper",0.0048,"Other"
"22",6,"Oper",0.0022567703109328,"Other"
"23",7,"Oper",0.00347616819306103,"Other"
"24",8,"Oper",0.00696055684454756,"Other"
"25",1,"Stper",0.0109863575999034,"Stone or Stone Veneer"
"26",2,"Stper",0.0181123296776338,"Stone or Stone Veneer"
"27",3,"Stper",0.0352413793103448,"Stone or Stone Veneer"
"28",4,"Stper",0.0139589557721507,"Stone or Stone Veneer"
"29",5,"Stper",0.0119172413793103,"Stone or Stone Veneer"
"30",6,"Stper",0.00695837512537613,"Stone or Stone Veneer"
"31",7,"Stper",0.0104285045791831,"Stone or Stone Veneer"
"32",8,"Stper",0.00661252900232019,"Stone or Stone Veneer"
"33",1,"Wper",0.0078473982856453,"Wood/Shingles"
"34",2,"Wper",0.0435360584911931,"Wood/Shingles"
"35",3,"Wper",0.13151724137931,"Wood/Shingles"
"36",4,"Wper",0.0629377479551354,"Wood/Shingles"
"37",5,"Wper",0.0494344827586207,"Wood/Shingles"
"38",6,"Wper",0.0221915747241725,"Wood/Shingles"
"39",7,"Wper",0.0429173073066381,"Wood/Shingles"
"40",8,"Wper",0.054292343387471,"Wood/Shingles"
"41",1,"Aper",0.0112278160086925,"Aluminum/Vinyl Siding"
"42",2,"Aper",0.00232635427052177,"Aluminum/Vinyl Siding"
"43",3,"Aper",0.0131724137931034,"Aluminum/Vinyl Siding"
"44",4,"Aper",0.0164078953812999,"Aluminum/Vinyl Siding"
"45",5,"Aper",0.110731034482759,"Aluminum/Vinyl Siding"
"46",6,"Aper",0.0186183550651956,"Aluminum/Vinyl Siding"
"47",7,"Aper",0.114780399759342,"Aluminum/Vinyl Siding"
"48",8,"Aper",0.161600928074246,"Aluminum/Vinyl Siding"
"49",1,"SCper",0.0167813594108415,"Stucco"
"50",2,"SCper",0.0299102691924227,"Stucco"
"51",3,"SCper",0.0809655172413793,"Stucco"
"52",4,"SCper",0.0335504726453446,"Stucco"
"53",5,"SCper",0.0225655172413793,"Stucco"
"54",6,"SCper",0.0154212637913741,"Stucco"
"55",7,"SCper",0.0149074135971656,"Stucco"
"56",8,"SCper",0.0225058004640371,"Stucco"
