id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4873463,"Cozy Pied-a-Terre, the Heart of DC",7220554,TheoDora,,"Dupont Circle, Connecticut Avenue/K Street",38.91518262914126,-77.03925944989557,Entire home/apt,95,2,29,2017-04-26,1.01,3,53
16736650,"Large, welcoming studio in a central location",47945335,Nina,,"Dupont Circle, Connecticut Avenue/K Street",38.91258032078886,-77.04272065116275,Entire home/apt,200,1,2,2017-02-19,0.55,1,0
14999877,Newly Renovated Apartment in the Heart of DC,10325135,Rory,,"Dupont Circle, Connecticut Avenue/K Street",38.917061605496514,-77.0358686152362,Entire home/apt,100,27,0,,,1,0
5955860,Spacious Dupont Circle Condo ,3873893,Feras,,"Dupont Circle, Connecticut Avenue/K Street",38.90981485070058,-77.04612378525066,Entire home/apt,129,2,79,2017-04-23,3.13,2,324
15655208,Luxury historic rowhouse; Adams Morgan/Dupont/UStr,73613929,Courtney,,"Dupont Circle, Connecticut Avenue/K Street",38.91675913046077,-77.0403492210081,Entire home/apt,500,2,1,2017-04-23,1,1,81
4022565,"Dupont, Adams Morgan, U Townhouse 3",5487930,Mark,,"Dupont Circle, Connecticut Avenue/K Street",38.91545019511909,-77.04020341573478,Private room,110,6,7,2017-04-21,0.23,13,357
15968425,"Cozy 1-BR Apartment in Dupont, Walk Score of 98",23211126,Henry,,"Dupont Circle, Connecticut Avenue/K Street",38.9151849772967,-77.03767874424182,Entire home/apt,225,3,3,2017-04-09,0.82,1,48
1301700,DuPont/Logan Circle Studio,7077536,Brett,,"Dupont Circle, Connecticut Avenue/K Street",38.906844533023026,-77.03475491999669,Entire home/apt,79,3,4,2014-07-05,0.09,1,0
646183,2 Bed - Dupont/Adams Morgan/U St,3104115,Olivier,,"Dupont Circle, Connecticut Avenue/K Street",38.91734441109127,-77.03875578968638,Entire home/apt,172,1,24,2016-01-10,0.48,1,0
14769106,Spacious & Sunny 1BR Apt @Dupont Circle with view!,92131371,Evan And Sabrina,,"Dupont Circle, Connecticut Avenue/K Street",38.91242253054756,-77.03812669510195,Private room,110,1,4,2017-04-27,0.67,1,10
16669509,15th Street Luxury Loft with parking,110267232,John,,"Dupont Circle, Connecticut Avenue/K Street",38.91212285602515,-77.03542033868425,Entire home/apt,1700,2,0,,,1,90
18373434,A local's paradise,39930655,Nicole,,"Dupont Circle, Connecticut Avenue/K Street",38.91610242164701,-77.04159674751884,Entire home/apt,110,1,0,,,24,42
