"OBJECTID","DCRAINTERNALNUMBER","ISSUE_DATE","PERMIT_ID","PERMIT_TYPE_NAME","PERMIT_SUBTYPE_NAME","PERMIT_CATEGORY_NAME","APPLICATION_STATUS_NAME","FULL_ADDRESS","DESC_OF_WORK","SSL","ZONING","PERMIT_APPLICANT","FEE_TYPE","FEES_PAID","OWNER_NAME","LASTMODIFIEDDATE","CITY","STATE","LATITUDE","LONGITUDE","XCOORD","YCOORD","ZIPCODE","MARADDRESSREPOSITORYID","DCSTATADDRESSKEY","DCSTATLOCATIONKEY","WARD","ANC","SMD","DISTRICT","PSA","NEIGHBORHOODCLUSTER","HOTSPOT2006NAME","HOTSPOT2005NAME","HOTSPOT2004NAME","BUSINESSIMPROVEMENTDISTRICT","YEAR"
223790,"111201755","2012-05-22T00:00:00.000Z","B1201755","CONSTRUCTION","NEW BUILDING","NA","COMPLETED","3049 CHANCELLORS WAY NE","CONSTRUCT NEW SFD AS PART OF APPROVED PUD CASE 07-27. NEW UNIT TYPE B SFD WITH 1 CAR GARAGE. THIRD PARTY REVIEWED PLAN INCLUDE ARCH, STRUCTURAL AND MEP DETAILS. CLEARING, GRADING AND UTILITY WORK UNDER SEPERATE PERMITS. PROPERTY IS CURRENTLY VACANT LAND.","3648    1020",NA,"DAVID  FONTANA","0.45 (GRNEFEE);65.42 (NEWEFEE);327.62 (FILINGFEE);326.57 (NEW1);4.53 (NEW2)","725","SP ASSOCIATES II LLC","2016-01-12T13:10:11.000Z","WASHINGTON","DC",38.928367,-76.99743,400222.83,140054.23,"20017",309851,469100,403842,"5","5C","5C09","FIFTH","502","21","NONE","NONE","NONE","NONE",2012
223791,"111201756","2012-05-31T00:00:00.000Z","B1201756","CONSTRUCTION","NEW BUILDING","NA","COMPLETED","3035 CHANCELLORS WAY NE","CONSTRUCT NEW SFD AS PART OF APPROVED PUD CASE 07-27. NEW UNIT TYPE B SFD WITH 1 CAR GARAGE. THIRD PARTY REVIEWED PLAN INCLUDE ARCH, STRUCTURAL AND MEP DETAILS. CLEARING, GRADING AND UTILITY WORK UNDER SEPERATE PERMITS. PROPERTY IS CURRENTLY VACANT LAND.","3648    1013",NA,"DAVID  FONTANA","326.57 (NEW1);327.62 (FILINGFEE);4.53 (NEW2);65.42 (NEWEFEE);0.45 (GRNEFEE)","725","SP ASSOCIATES II LLC","2016-01-12T13:10:11.000Z","WASHINGTON","DC",38.928175,-76.997558,400211.75,140032.92,"20017",309854,469106,403845,"5","5C","5C09","FIFTH","502","21","NONE","NONE","NONE","NONE",2012
223792,"111201757","2012-05-31T00:00:00.000Z","B1201757","CONSTRUCTION","NEW BUILDING","NA","COMPLETED","3037 CHANCELLORS WAY NE","CONSTRUCT NEW SFD AS PART OF APPROVED PUD CASE 07-27. NEW UNIT TYPE B SFD WITH 1 CAR GARAGE. THIRD PARTY REVIEWED PLAN INCLUDE ARCH, STRUCTURAL AND MEP DETAILS. CLEARING, GRADING AND UTILITY WORK UNDER SEPERATE PERMITS. PROPERTY IS CURRENTLY VACANT LAND.","3648    1014",NA,"DAVID  FONTANA",NA,"725","SP ASSOCIATES II LLC","2015-06-03T07:00:42.000Z","WASHINGTON","DC",38.928175,-76.997495,400217.21,140032.92,"20017",309855,469108,403822,"5","5C","5C09","FIFTH","502","21","NONE","NONE","NONE","NONE",2012
223793,"111201762","2012-07-20T00:00:00.000Z","B1201762","CONSTRUCTION","NEW BUILDING","NA","COMPLETED","3003 CHANCELLORS WAY NE","CONSTRUCT NEW SFD AS PART OF APPROVED PUD CASE 07-27. NEW UNIT TYPE B SFD WITH 1 CAR GARAGE. THIRD PARTY REVIEWED PLAN INCLUDE ARCH, STRUCTURAL AND MEP DETAILS. CLEARING, GRADING AND UTILITY WORK UNDER SEPERATE PERMITS. PROPERTY IS CURRENTLY VACANT LAND.","3648    0997",NA,"DAVID  FONTANA","4.61 (NEW2);311.74 (NEW1);63.94 (NEWEFEE);327.62 (FILINGFEE);0.46 (GRNEFEE)","708","SP ASSOCIATES II LLC","2016-01-12T13:10:11.000Z","WASHINGTON","DC",38.927624,-76.997562,400211.37,139971.78,"20017",309869,469136,403853,"5","5C","5C09","FIFTH","502","21","NONE","NONE","NONE","NONE",2012
223794,"111201770","2012-08-30T00:00:00.000Z","B1201770","CONSTRUCTION","NEW BUILDING","NA","COMPLETED","2905 CHANCELLORS WAY NE","CONSTRUCT NEW SFD AS PART OF APPROVED PUD CASE 07-27. NEW UNIT TYPE B SFD WITH 1 CAR GARAGE. THIRD PARTY REVIEWED PLAN INCLUDE ARCH, STRUCTURAL AND MEP DETAILS. CLEARING, GRADING AND UTILITY WORK UNDER SEPERATE PERMITS. PROPERTY IS CURRENTLY VACANT LAND.","3648    0985",NA,"DAVID  FONTANA","0.46 (GRNEFEE);327.62 (FILINGFEE);65.66 (NEWEFEE);329.02 (NEW1);4.61 (NEW2)","727","SP ASSOCIATES II LLC","2016-01-12T13:10:11.000Z","WASHINGTON","DC",38.927126,-76.998207,400155.44,139916.5,"20017",309884,469166,403786,"5","5C","5C09","FIFTH","502","21","NONE","NONE","NONE","NONE",2012
223795,"111201773","2012-10-10T00:00:00.000Z","B1201773","CONSTRUCTION","NEW BUILDING","NA","COMPLETED","2903 CHANCELLORS WAY NE","CONSTRUCT NEW SFD AS PART OF APPROVED PUD CASE 07-27. NEW UNIT TYPE B SFD WITH 1 CAR GARAGE. THIRD PARTY REVIEWED PLAN INCLUDE ARCH, STRUCTURAL AND MEP DETAILS. CLEARING, GRADING AND UTILITY WORK UNDER SEPERATE PERMITS. PROPERTY IS CURRENTLY VACANT LAND.","3648    0984",NA,"DAVID  FONTANA","65.66 (NEWEFEE);4.61 (NEW2);329.02 (NEW1);0.46 (GRNEFEE);327.62 (FILINGFEE)","727","SP ASSOCIATES II LLC","2015-10-06T06:48:19.000Z","WASHINGTON","DC",38.927105,-76.99826,400150.92,139914.14,"20017",309885,469168,403787,"5","5C","5C09","FIFTH","502","21","NONE","NONE","NONE","NONE",2012
223796,"111201851","2012-03-29T00:00:00.000Z","B1201851","CONSTRUCTION","NEW BUILDING","NA","COMPLETED","515 REGENT PL NE","CONSTRUCTION NEW SFD AS PART OF APPROVED PUD CASE 07-27. NEW UNITS TYPE C SFD WITH 2 CAR GARAGE. THIRD PARTY REVIEWED PLANS INCLUSE ARCHITECTURAL, STRUCTURAL, M, E, P DETAILS. CLEARING, GRADING AND UTIITY WORK UNDER SEPAERATE PERMITS. PROPERTY IS CURRENTLY VACANT LAND.","3648    1034",NA,"DAVID  FONTANA",NA,"808","SP ASSOCIATES II, LLC","2015-06-03T07:00:42.000Z","WASHINGTON","DC",38.928705,-76.998939,400092.01,140091.75,"20017",309896,469190,403805,"5","5C","5C09","FIFTH","502","21","NONE","NONE","NONE","NONE",2012
223797,"111201852","2012-03-29T00:00:00.000Z","B1201852","CONSTRUCTION","NEW BUILDING","NA","COMPLETED","517 REGENT PL NE","CONSTRUCTION NEW SFD AS PART OF APPROVED PUD CASE 07-27. NEW UNITS TYPE C SFD WITH 2 CAR GARAGE. THIRD PARTY REVIEWED PLANS INCLUSE ARCHITECTURAL, STRUCTURAL, M, E, P DETAILS. CLEARING, GRADING AND UTIITY WORK UNDER SEPAERATE PERMITS. PROPERTY IS CURRENTLY VACANT LAND.","3648    1033",NA,"DAVID  FONTANA",NA,"808","SP ASSOCIATES II, LLC","2015-06-03T07:00:42.000Z","WASHINGTON","DC",38.928661,-76.998919,400093.76,140086.89,"20017",309897,469192,403793,"5","5C","5C09","FIFTH","502","21","NONE","NONE","NONE","NONE",2012
223854,"111109458","2012-03-05T00:00:00.000Z","B1109458","CONSTRUCTION","NEW BUILDING","NA","COMPLETED","5216 BASS PL SE","NEW CONSTRUCTION-SINGLE FAMILY HOUSE ELECTRICAL, PLUMBING, MECHANICAL DUCT WORK AND FENCE AS PER PLANS.","27",NA,"TAHER  KHATIB","84.48 (NEWEFEE);4.80 (NEW2);720.00 (FILINGFEE);120.00 (NEW1)","929","DISTRICT PROPERTIES","2015-10-06T06:48:19.000Z","WASHINGTON","DC",38.885626,-76.926538,406373.66,135312.24,"20019",309635,467904,402789,"7","7E","7E06","SIXTH","604","33","NONE","NONE","NONE","NONE",2012
223860,"111109683","2012-03-07T00:00:00.000Z","B1109683","CONSTRUCTION","NEW BUILDING","NA","COMPLETED","705 6TH ST NW","NEW 3 STORY BUILDING NO BASMENT FOR FUTURE RESTAURANT WITH PARTIAL 3RD FLOOR. WORK INCLUDES SHELL ONLY, TENANT FIT OUT AND OCCUPANCY/ NOT INCLUDED","0486    0004",NA,"LAUREN  WINTER","1.00 (GRNEFEE);129.00 (NEWEFEE);10.00 (NEW2);1000.00 (FILINGFEE);290.00 (NEW1)","1430","JEMALS BARTLEY LLC","2016-01-12T13:10:11.000Z","WASHINGTON","DC",38.898607,-77.019597,398300.06,136750.8,"20001",310367,161825,161825,"2","6C","6C09","FIRST","102","8","NONE","NONE","NONE","DOWNTOWN BID",2012
