ID,Address,Match,MatchDetail,AddMatch,LongLat,N,LR
1410,"1699 31ST ST NW, Washington, DC, 20007",Match,Exact,"1699 31st St NW, WASHINGTON, DC, 20007","-77.06311,38.913204",76221252,R
1415,"17 SEATON PL NW, Washington, DC, 20001",Match,Exact,"17 Seaton Pl NW, WASHINGTON, DC, 20001","-77.009766,38.914837",76237772,R
3280,"411 1ST ST SE, Washington, DC, 20003",Match,Exact,"411 1st St SE, WASHINGTON, DC, 20003","-77.00591,38.884724",76227143,R
940,"1422 MONROE ST NW, Washington, DC, 20010",Match,Exact,"1422 Monroe St NW, WASHINGTON, DC, 20010","-77.03337,38.931404",611109805,L
945,"1424 DUNCAN ST NE, Washington, DC, 20002",Match,Exact,"1424 Duncan St NE, WASHINGTON, DC, 20002","-76.98444,38.895412",76238005,L
330,"1213 O ST NW, Washington, DC, 20005",Match,Exact,"1213 O St NW, WASHINGTON, DC, 20005","-77.02909,38.90859",76226080,R
3285,"411 G ST SE, Washington, DC, 20003",Match,Exact,"411 G St SE, WASHINGTON, DC, 20003","-77.00043,38.88126",76230602,R
335,"1214 HOLLY ST NW, Washington, DC, 20012",Match,Exact,"1214 Holly St NW, WASHINGTON, DC, 20012","-77.0282,38.980366",76221687,L
530,"1302 MASSACHUSETTS AVE SE, Washington, DC, 20003",Match,Exact,"1302 Massachusetts Ave SE, WASHINGTON, DC, 20003","-76.9882,38.88898",76230399,L
3480,"4402 NEW HAMPSHIRE AVE NW, Washington, DC, 20011",Match,Exact,"4402 New Hampshire Ave NW, WASHINGTON, DC, 20011","-77.018394,38.944298",76223621,L
745,"1348 28TH ST NW, Washington, DC, 20007",Match,Exact,"1348 28th St NW, WASHINGTON, DC, 20007","-77.05709,38.907978",76225000,L
2950,"3510 WHITEHAVEN PKWY NW, Washington, DC, 20007",Match,Exact,"3510 Whitehaven Pkwy NW, WASHINGTON, DC, 20007","-77.0702,38.916557",76221071,L
535,"1304 SOUTH CAROLINA AVE SE, Washington, DC, 20003",Match,Exact,"1304 S Carolina Ave SE, WASHINGTON, DC, 20003","-76.98803,38.88604",76230855,L
3485,"4404 W ST NW, Washington, DC, 20007",Match,Exact,"4404 W St NW, WASHINGTON, DC, 20007","-77.08653,38.91916",76237467,L
2955,"3516 PARK PL NW, Washington, DC, 20010",Match,Exact,"3516 Park Pl NW, WASHINGTON, DC, 20010","-77.01895,38.933197",76224162,L
1820,"2003 KALORAMA RD NW, Washington, DC, 20009",Match,Exact,"2003 Kalorama Rd NW, WASHINGTON, DC, 20009","-77.04631,38.919144",632575767,R
740,"1347 EMERALD ST NE, Washington, DC, 20002",Match,Exact,"1347 Emerald St NE, WASHINGTON, DC, 20002","-76.986984,38.89671",76230328,R
1825,"201 BRYANT ST NE, Washington, DC, 20002",Match,Exact,"201 Bryant St NE, WASHINGTON, DC, 20002","-77.003426,38.921288",76228572,R
1420,"1700 OTIS ST NE, Washington, DC, 20018",Match,Exact,"1700 Otis St NE, WASHINGTON, DC, 20018","-76.981255,38.93502",76228814,L
3290,"4113 ILLINOIS AVE NW, Washington, DC, 20011",Match,Exact,"4113 Illinois Ave NW, WASHINGTON, DC, 20011","-77.01803,38.941193",76223682,R
930,"1421 3RD ST NW, Washington, DC, 20001",Match,Exact,"1421 3rd St NW, WASHINGTON, DC, 20001","-77.01517,38.90882",76226471,R
1425,"1702 FLORIDA AVE NW, Washington, DC, 20009",Match,Exact,"1702 Florida Ave NW, WASHINGTON, DC, 20009","-77.03892,38.918385",76223087,L
3295,"4117 13TH PL NE, Washington, DC, 20017",Match,Exact,"4117 13th Pl NE, WASHINGTON, DC, 20017","-76.98712,38.939865",76228360,R
935,"1421 HOPKINS ST NW, Washington, DC, 20036",Match,Exact,"1421 Hopkins St NW, WASHINGTON, DC, 20036","-77.04574,38.90882",76225299,R
345,"1216 W ST NW, Washington, DC, 20009",Match,Exact,"1216 W St NW, WASHINGTON, DC, 20009","-77.02887,38.91917",76224252,L
540,"1306 DELAFIELD PL NW, Washington, DC, 20011",Match,Exact,"1306 Delafield Pl NW, WASHINGTON, DC, 20011","-77.03003,38.948986",76238316,L
735,"1346 PARKWOOD PL NW, Washington, DC, 20010",Match,Exact,"1346 Parkwood Pl NW, WASHINGTON, DC, 20010","-77.031746,38.935284",76222956,L
2940,"35 V ST NE, Washington, DC, 20002",Match,Exact,"35 V St NE, WASHINGTON, DC, 20002","-77.0082,38.918095",76237778,R
3490,"4406 ILLINOIS AVE NW, Washington, DC, 20011",Match,Exact,"4406 Illinois Ave NW, WASHINGTON, DC, 20011","-77.02,38.94428",76223589,L
1810,"1981 UPSHUR ST NW, Washington, DC, 20011",Match,Exact,"1981 Upshur St NW, WASHINGTON, DC, 20011","-77.04698,38.940834",76222216,R
340,"1216 GALLATIN ST NW, Washington, DC, 20011",Match,Exact,"1216 Gallatin St NW, WASHINGTON, DC, 20011","-77.02788,38.95186",76223290,L
5,"1 SHERMAN CIR NW, Washington, DC, 20011",Match,Exact,"1 Sherman Cir NW, WASHINGTON, DC, 20011","-77.02154,38.946842",76223584,R
545,"1307 35TH ST NW, Washington, DC, 20007",Match,Exact,"1307 35th St NW, WASHINGTON, DC, 20007","-77.068985,38.90684",76224827,R
3495,"441 12TH ST NE, Washington, DC, 20002",Match,Exact,"441 12th St NE, WASHINGTON, DC, 20002","-76.99023,38.895626",76230299,R
1815,"200 WHITTIER ST NW, Washington, DC, 20012",Match,Exact,"200 Whittier St NW, WASHINGTON, DC, 20012","-77.01293,38.97114",76222045,L
2945,"3505 NEW HAMPSHIRE AVE NW, Washington, DC, 20010",Match,Exact,"3505 New Hampshire Ave NW, WASHINGTON, DC, 20010","-77.026794,38.932922",76224077,R
730,"1344 JEFFERSON ST NW, Washington, DC, 20011",Match,Exact,"1344 Jefferson St NW, WASHINGTON, DC, 20011","-77.03139,38.955143",76222323,L
920,"1418 NICHOLSON ST NW, Washington, DC, 20011",Match,Exact,"1418 Nicholson St NW, WASHINGTON, DC, 20011","-77.03508,38.96021",76222284,L
1435,"1708 KILBOURNE PL NW, Washington, DC, 20010",Match,Exact,"1708 Kilbourne Pl NW, WASHINGTON, DC, 20010","-77.039154,38.93055",76222866,L
1430,"1704 LAWRENCE ST NE, Washington, DC, 20018",Match,Exact,"1704 Lawrence St NE, WASHINGTON, DC, 20018","-76.980965,38.932064",76228826,L
315,"1211 FERN ST NW, Washington, DC, 20012",Match,Exact,"1211 Fern St NW, WASHINGTON, DC, 20012","-77.02813,38.977997",76221704,R
925,"142 THOMAS ST NW, Washington, DC, 20001",Match,Exact,"142 Thomas St NW, WASHINGTON, DC, 20001","-77.013145,38.916267",76224641,L
2980,"3536 PARK PL NW, Washington, DC, 20010",Match,Exact,"3536 Park Pl NW, WASHINGTON, DC, 20010","-77.01906,38.93364",76224160,L
310,"1211 17TH ST NE, Washington, DC, 20002",Match,Exact,"1211 17th St NE, WASHINGTON, DC, 20002","-76.978966,38.90579",76230215,R
2975,"3531 YUMA ST NW, Washington, DC, 20008",Match,Exact,"3531 Yuma St NW, WASHINGTON, DC, 20008","-77.06869,38.94629",76220716,R
510,"128 16TH ST NE, Washington, DC, 20002",Match,Exact,"128 16th St NE, WASHINGTON, DC, 20002","-76.98223,38.891262",76230497,L
2970,"3527 YUMA ST NW, Washington, DC, 20008",Match,Exact,"3527 Yuma St NW, WASHINGTON, DC, 20008","-77.06862,38.94629",76220716,R
1840,"2016 JACKSON ST NE, Washington, DC, 20018",Match,Exact,"2016 Jackson St NE, WASHINGTON, DC, 20018","-76.97597,38.93017",76229191,L
725,"1342 OTIS PL NW, Washington, DC, 20010",Match,Exact,"1342 Otis Pl NW, WASHINGTON, DC, 20010","-77.031296,38.934555",76222964,L
1440,"1709 4TH ST NW, Washington, DC, 20001",Match,Exact,"1709 4th St NW, WASHINGTON, DC, 20001","-77.01615,38.912983",76224617,R
720,"1341 IRVING ST NW, Washington, DC, 20010",Match,Exact,"1341 Irving St NW, WASHINGTON, DC, 20010","-77.03095,38.92865",76223016,R
515,"128 THOMAS ST NW, Washington, DC, 20001",Match,Exact,"128 Thomas St NW, WASHINGTON, DC, 20001","-77.01285,38.916267",76224641,L
1845,"202 16TH ST SE, Washington, DC, 20003",Match,Exact,"202 16th St SE, WASHINGTON, DC, 20003","-76.9822,38.887474",76230514,L
1445,"1710 34TH ST NW, Washington, DC, 20007",Match,Exact,"1710 34th St NW, WASHINGTON, DC, 20007","-77.06793,38.913895",76221229,L
915,"1417 WEST VIRGINIA AVE NE, Washington, DC, 20002",Match,Exact,"1417 West Virginia Ave NE, WASHINGTON, DC, 20002","-76.98985,38.90685",76230078,R
325,"1212 HAMLIN ST NE, Washington, DC, 20017",Match,Exact,"1212 Hamlin St NE, WASHINGTON, DC, 20017","-76.989365,38.927677",76228762,L
2100,"229 ROCK CREEK CHURCH RD NW, Washington, DC, 20011",Match,Exact,"229 Rock Creek Church Rd NW, WASHINGTON, DC, 20011","-77.01428,38.941216",76223966,R
910,"1417 17TH ST NW, Washington, DC, 20036",Match,Exact,"1417 17th St NW, WASHINGTON, DC, 20036","-77.038475,38.908882",76225611,R
320,"1211 WYLIE ST NE, Washington, DC, 20002",Match,Exact,"1211 Wylie St NE, WASHINGTON, DC, 20002","-76.98997,38.90075",76230161,R
1830,"2010 TAYLOR ST NE, Washington, DC, 20018",Match,Exact,"2010 Taylor St NE, WASHINGTON, DC, 20018","-76.976036,38.940735",76229093,L
2965,"3520 TILDEN ST NW, Washington, DC, 20008",Match,Exact,"3520 Tilden St NW, WASHINGTON, DC, 20008","-77.070366,38.941326",76220569,L
2960,"3519 S ST NW, Washington, DC, 20007",Match,Exact,"3519 S St NW, WASHINGTON, DC, 20007","-77.06972,38.914574",76221077,R
715,"1340 CORCORAN ST NW, Washington, DC, 20009",Match,Exact,"1340 Corcoran St NW, WASHINGTON, DC, 20009","-77.030594,38.911854",76226048,L
520,"13 HAWTHORNE CT NE, Washington, DC, 20017",Match,Exact,"13 Hawthorne Ct NE, WASHINGTON, DC, 20017","-77.00845,38.928047",76235042,L
1450,"1712 37TH ST NW, Washington, DC, 20007",Match,Exact,"1712 37th St NW, WASHINGTON, DC, 20007","-77.07276,38.91372",76221055,L
710,"1339 SOMERSET PL NW, Washington, DC, 20011",Match,Exact,"1339 Somerset Pl NW, WASHINGTON, DC, 20011","-77.03118,38.966866",76221633,R
525,"1300 FAIRMONT ST NW, Washington, DC, 20009",Match,Exact,"1300 Fairmont St NW, WASHINGTON, DC, 20009","-77.02984,38.924744",76223142,L
1835,"2015 37TH ST NW, Washington, DC, 20007",Match,Exact,"2015 37th St NW, WASHINGTON, DC, 20007","-77.07287,38.9172",76239419,R
3240,"4040 MANSION CT NW, Washington, DC, 20007",Match,Exact,"4040 Mansion Ct NW, WASHINGTON, DC, 20007","-77.078255,38.915993",76235376,L
2110,"2306 14TH ST NE, Washington, DC, 20018",Match,Exact,"2306 14th St NE, WASHINGTON, DC, 20018","-76.98326,38.920307",76228977,L
570,"1311 S ST NW, Washington, DC, 20009",Match,Exact,"1311 S St NW, WASHINGTON, DC, 20009","-77.02995,38.914104",76223211,R
980,"1434 GERANIUM ST NW, Washington, DC, 20012",Match,Exact,"1434 Geranium St NW, WASHINGTON, DC, 20012","-77.03401,38.97938",76221537,L
985,"1436 LEEGATE RD NW, Washington, DC, 20012",Match,Exact,"1436 Leegate Rd NW, WASHINGTON, DC, 20012","-77.034065,38.9867",76221487,L
4970,"927 4TH ST NE, Washington, DC, 20002",Match,Exact,"927 4th St NE, WASHINGTON, DC, 20002","-77.00056,38.90167",76229725,R
700,"1337 EMERALD ST NE, Washington, DC, 20002",Match,Exact,"1337 Emerald St NE, WASHINGTON, DC, 20002","-76.98724,38.896706",76230328,R
4965,"925 8TH ST NE, Washington, DC, 20002",Match,Exact,"925 8th St NE, WASHINGTON, DC, 20002","-76.99494,38.901646",76229771,R
3235,"404 6TH ST SE, Washington, DC, 20003",Match,Exact,"404 6th St SE, WASHINGTON, DC, 20003","-76.998436,38.884182",76230587,L
575,"1312 30TH ST NW, Washington, DC, 20007",Match,Exact,"1312 30th St NW, WASHINGTON, DC, 20007","-77.05921,38.907375",76224981,L
2995,"3550 TILDEN ST NW, Washington, DC, 20008",Match,Non_Exact,"3550 Tilden St NW, WASHINGTON, DC, 20016","-77.09214,38.941254",76239326,L
2105,"230 CROMWELL TER NE, Washington, DC, 20002",Match,Exact,"230 Cromwell Ter NE, WASHINGTON, DC, 20002","-77.00303,38.922916",76228562,L
705,"1338 IRVING ST NW, Washington, DC, 20010",Match,Exact,"1338 Irving St NW, WASHINGTON, DC, 20010","-77.0309,38.928623",76223016,L
3250,"406 DELAFIELD PL NW, Washington, DC, 20011",Match,Exact,"406 Delafield Pl NW, WASHINGTON, DC, 20011","-77.01769,38.949253",76223600,L
300,"1207 INGRAHAM ST NW, Washington, DC, 20011",Match,Exact,"1207 Ingraham St NW, WASHINGTON, DC, 20011","-77.02794,38.954098",76223284,R
2120,"231 WARREN ST NE, Washington, DC, 20002",Match,Exact,"231 Warren St NE, WASHINGTON, DC, 20002","-76.98646,38.892517",76230350,R
580,"1313 35TH ST NW, Washington, DC, 20007",Match,Exact,"1313 35th St NW, WASHINGTON, DC, 20007","-77.06899,38.9069",76224827,R
3255,"407 4TH ST NE, Washington, DC, 20002",Match,Exact,"407 4th St NE, WASHINGTON, DC, 20002","-77.00056,38.894928",76229846,R
2990,"3547 S ST NW, Washington, DC, 20007",Match,Exact,"3547 S St NW, WASHINGTON, DC, 20007","-77.07019,38.914562",76221077,R
305,"1209 INGRAHAM ST NW, Washington, DC, 20011",Match,Exact,"1209 Ingraham St NW, WASHINGTON, DC, 20011","-77.02798,38.954094",76223284,R
970,"1431 POTOMAC AVE SE, Washington, DC, 20003",Match,Non_Exact,"1431 Potomac Ave SE, WASHINGTON, DC, 20004","-76.9845,38.880714",76230951,R
4980,"939 T ST NW, Washington, DC, 20001",Match,Exact,"939 T St NW, WASHINGTON, DC, 20001","-77.02484,38.91559",76224338,R
975,"1433 CONSTITUTION AVE NE, Washington, DC, 20002",Match,Exact,"1433 Constitution Ave NE, WASHINGTON, DC, 20002","-76.98452,38.89206",76230486,R
4975,"933 5TH ST NE, Washington, DC, 20002",Match,Exact,"933 5th St NE, WASHINGTON, DC, 20002","-76.99949,38.901733",76229732,R
585,"1314 C ST SE, Washington, DC, 20003",Match,Exact,"1314 C St SE, WASHINGTON, DC, 20003","-76.987114,38.88537",76230857,L
3245,"405 ONEIDA ST NE, Washington, DC, 20011",Match,Exact,"405 Oneida St NE, WASHINGTON, DC, 20011","-77.00143,38.961998",76228008,R
2115,"2309 HUIDEKOPER PL NW, Washington, DC, 20007",Match,Exact,"2309 Huidekoper Pl NW, WASHINGTON, DC, 20007","-77.0747,38.91936",76220985,R
2985,"3544 WARDER ST NW, Washington, DC, 20010",Match,Exact,"3544 Warder St NW, WASHINGTON, DC, 20010","-77.02068,38.933483",76224142,L
3265,"409 VARNUM ST NW, Washington, DC, 20011",Match,Exact,"409 Varnum St NW, WASHINGTON, DC, 20011","-77.01736,38.94319",76223678,R
1600,"1805 MONROE ST NE, Washington, DC, 20018",Match,Exact,"1805 Monroe St NE, WASHINGTON, DC, 20018","-76.979385,38.9331",76229135,R
2130,"2319 BANCROFT PL NW, Washington, DC, 20008",Match,Exact,"2319 Bancroft Pl NW, WASHINGTON, DC, 20008","-77.05105,38.914845",76222678,R
3260,"408 CAPITOL ST NE, Washington, DC, 20003",Match,Non_Exact,"408 E Capitol St NE, WASHINGTON, DC, 20003","-77.00036,38.88982",632575624,L
965,"1431 CORCORAN ST NW, Washington, DC, 20009",Match,Exact,"1431 Corcoran St NW, WASHINGTON, DC, 20009","-77.0328,38.91188",76225681,R
4990,"970 FLORIDA AVE NW, Washington, DC, 20001",Match,Exact,"970 Florida Ave NW, WASHINGTON, DC, 20001","-77.02543,38.91994",76224272,L
1605,"1806 M ST NE, Washington, DC, 20002",Match,Exact,"1806 M St NE, WASHINGTON, DC, 20002","-76.97777,38.905643",76231237,L
960,"1429 MORSE ST NE, Washington, DC, 20002",Match,Exact,"1429 Morse St NE, WASHINGTON, DC, 20002","-76.98407,38.901283",76230238,R
1805,"1949-1/2 CALVERT ST NW, Washington, DC, 20009",Match,Exact,"1949 Calvert St NW, WASHINGTON, DC, 20009","-77.04703,38.923252",76222688,R
4985,"952 SHEPHERD ST NW, Washington, DC, 20011",Match,Exact,"952 Shepherd St NW, WASHINGTON, DC, 20011","-77.02549,38.939728",76223545,L
1800,"1941 H ST NE, Washington, DC, 20002",Match,Exact,"1941 H St NE, WASHINGTON, DC, 20002","-76.97508,38.900185",76231283,R
555,"1309 FARRAGUT ST NW, Washington, DC, 20011",Match,Exact,"1309 Farragut St NW, WASHINGTON, DC, 20011","-77.03016,38.950813",76222341,R
2125,"2311 13TH PL NE, Washington, DC, 20018",Match,Exact,"2311 13th Pl NE, WASHINGTON, DC, 20018","-76.986496,38.92014",76228934,R
550,"1308 DECATUR ST NW, Washington, DC, 20011",Match,Exact,"1308 Decatur St NW, WASHINGTON, DC, 20011","-77.03092,38.948246",76222453,L
560,"1310 FLORAL ST NW, Washington, DC, 20012",Match,Exact,"1310 Floral St NW, WASHINGTON, DC, 20012","-77.03087,38.978676",76221559,L
3275,"4106 5TH ST NW, Washington, DC, 20011",Match,Exact,"4106 5th St NW, WASHINGTON, DC, 20011","-77.01917,38.941097",76223674,L
1405,"1690 32ND ST NW, Washington, DC, 20007",Match,Exact,"1690 32nd St NW, WASHINGTON, DC, 20007","-77.064186,38.91322",76221247,L
955,"1428 A ST NE, Washington, DC, 20002",Match,Exact,"1428 A St NE, WASHINGTON, DC, 20002","-76.98494,38.890945",76230491,L
2140,"233 JEFFERSON ST NW, Washington, DC, 20011",Match,Exact,"233 Jefferson St NW, WASHINGTON, DC, 20011","-77.01437,38.955555",76223781,R
3270,"4100 13TH PL NE, Washington, DC, 20017",Match,Exact,"4100 13th Pl NE, WASHINGTON, DC, 20017","-76.98716,38.93971",76228360,L
950,"1425 STAPLES ST NE, Washington, DC, 20002",Match,Exact,"1425 Staples St NE, WASHINGTON, DC, 20002","-76.983894,38.90388",76230226,R
1400,"1676 32ND ST NW, Washington, DC, 20007",Match,Exact,"1676 32nd St NW, WASHINGTON, DC, 20007","-77.06411,38.9126",76221250,L
1205,"1538 T ST NW, Washington, DC, 20009",Match,Exact,"1538 T St NW, WASHINGTON, DC, 20009","-77.035324,38.915558",76223171,L
1200,"1536 LEVIS ST NE, Washington, DC, 20002",Match,Exact,"1536 Levis St NE, WASHINGTON, DC, 20002","-76.98219,38.904526",76230232,L
565,"1311 1ST ST NW, Washington, DC, 20001",Match,Exact,"1311 1st St NW, WASHINGTON, DC, 20001","-77.01215,38.907425",76226508,R
2135,"2322 19TH ST NW, Washington, DC, 20009",Match,Exact,"2322 19th St NW, WASHINGTON, DC, 20009","-77.04515,38.91981",76222727,L
2145,"2335 49TH ST NW, Washington, DC, 20007",No_Match,,,,,
4040,"532 24TH ST NE, Washington, DC, 20002",Match,Exact,"532 24th St NE, WASHINGTON, DC, 20002","-76.97266,38.89651",76231411,L
4045,"5321 KANSAS AVE NW, Washington, DC, 20011",Match,Exact,"5321 Kansas Ave NW, WASHINGTON, DC, 20011","-77.01648,38.954586",76223761,R
3005,"3603 WINFIELD LN NW, Washington, DC, 20007",Match,Exact,"3603 Winfield Ln NW, WASHINGTON, DC, 20007","-77.0713,38.911823",76236041,L
3875,"5109 34TH ST NW, Washington, DC, 20008",Match,Exact,"5109 34th St NW, WASHINGTON, DC, 20008","-77.06681,38.95603",76220630,R
3680,"4709 BLAGDEN AVE NW, Washington, DC, 20011",Match,Exact,"4709 Blagden Ave NW, WASHINGTON, DC, 20011","-77.03997,38.9476",76222357,R
2740,"3220 13TH ST NW, Washington, DC, 20010",Match,Exact,"3220 13th St NW, WASHINGTON, DC, 20010","-77.029724,38.930294",76224090,L
2745,"3221 13TH ST NW, Washington, DC, 20010",Match,Exact,"3221 13th St NW, WASHINGTON, DC, 20010","-77.02969,38.9299",76224090,R
1625,"1814 19TH ST NW, Washington, DC, 20009",Match,Exact,"1814 19th St NW, WASHINGTON, DC, 20009","-77.04344,38.914646",76222803,L
4925,"913 C ST SE, Washington, DC, 20003",Match,Exact,"913 C St SE, WASHINGTON, DC, 20003","-76.99358,38.88602",76230691,R
3675,"4705 16TH ST NW, Washington, DC, 20011",Match,Exact,"4705 16th St NW, WASHINGTON, DC, 20011","-77.03641,38.94733",76222367,R
3880,"511 INGRAHAM ST NE, Washington, DC, 20011",Match,Exact,"511 Ingraham St NE, WASHINGTON, DC, 20011","-76.9986,38.95435",76228087,R
3010,"3606 14TH ST NE, Washington, DC, 20017",Match,Exact,"3606 14th St NE, WASHINGTON, DC, 20017","-76.98647,38.933865",76228737,L
4920,"911 L ST NE, Washington, DC, 20002",Match,Exact,"911 L St NE, WASHINGTON, DC, 20002","-76.99373,38.903713",76229785,R
1620,"1812 24TH ST NW, Washington, DC, 20008",Match,Exact,"1812 24th St NW, WASHINGTON, DC, 20008","-77.05262,38.914436",76222653,L
2150,"234 14TH ST NE, Washington, DC, 20002",Match,Exact,"234 14th St NE, WASHINGTON, DC, 20002","-76.98553,38.89258",76230352,L
3200,"4010 12TH ST NE, Washington, DC, 20017",Match,Exact,"4010 12th St NE, WASHINGTON, DC, 20017","-76.99025,38.93886",76228325,L
2155,"235 16TH ST SE, Washington, DC, 20003",Match,Exact,"235 16th St SE, WASHINGTON, DC, 20003","-76.98223,38.88639",76230935,R
4030,"5310 1ST ST NW, Washington, DC, 20011",Match,Exact,"5310 1st St NW, WASHINGTON, DC, 20011","-77.0116,38.9547",76223788,L
1895,"2103 R ST NW, Washington, DC, 20008",Match,Exact,"2103 R St NW, WASHINGTON, DC, 20008","-77.04678,38.912624",76222771,R
