ID,Address,Match,MatchDetail,AddMatch,LongLat,N,LR
1,"0 13TH ST NE, Washington, DC, 20002",No_Match,,,"-76.9904944,38.8899737",,
8,"10 R ST NE, Washington, DC, 20002",Match,Exact,"10 R St NE, WASHINGTON, DC, 20002","-77.008286,38.9126",76224728,L
16,"1001 MONROE ST NW, Washington, DC, 20010",Match,Exact,"1001 Monroe St NW, WASHINGTON, DC, 20010","-77.027695,38.932915",76224049,R
23,"1004 S ST NW, Washington, DC, 20001",Match,Exact,"1004 S St NW, WASHINGTON, DC, 20001","-77.026085,38.914074",76224320,L
30,"1006 MARYLAND AVE NE, Washington, DC, 20002",Match,Exact,"1006 Maryland Ave NE, WASHINGTON, DC, 20002","-76.99254,38.896435",76230290,L
39,"10091/2 LAMONT ST NW, Washington, DC, 20010",No_Match,,,"-77.0291215,38.9309046",,
50,"1010 NORTH CAROLINA AVE SE, Washington, DC, 20003",Match,Exact,"1010 North Carolina Ave SE, WASHINGTON, DC, 20003","-76.9925,38.888905",76230063,L
57,"1013 4TH ST NE, Washington, DC, 20002",Match,Exact,"1013 4th St NE, WASHINGTON, DC, 20002","-77.00056,38.90271",76229713,R
67,"1016 11TH ST NE, Washington, DC, 20002",Match,Exact,"1016 11th St NE, WASHINGTON, DC, 20002","-76.99155,38.90267",76230123,L
78,"1018 KEARNY ST NE, Washington, DC, 20017",Match,Non_Exact,"1018 Kearney St NE, WASHINGTON, DC, 20017","-76.99225,38.930508",76228744,L
85,"1020 11TH ST NE, Washington, DC, 20002",Match,Exact,"1020 11th St NE, WASHINGTON, DC, 20002","-76.99155,38.902702",76230123,L
92,"1021 9TH ST NE, Washington, DC, 20002",Match,Exact,"1021 9th St NE, WASHINGTON, DC, 20002","-76.99374,38.90321",76229784,R
101,"1025 49TH ST NE, Washington, DC, 20019",Match,Exact,"1025 49th St NE, WASHINGTON, DC, 20019","-76.93165,38.903484",76233368,R
108,"1029 EUCLID ST NW, Washington, DC, 20001",Match,Exact,"1029 Euclid St NW, WASHINGTON, DC, 20001","-77.02598,38.923878",76224266,R
115,"1031 NEWTON ST NE, Washington, DC, 20017",Match,Exact,"1031 Newton St NE, WASHINGTON, DC, 20017","-76.9924,38.933445",76228719,R
124,"1039 EVARTS ST NE, Washington, DC, 20018",Match,Exact,"1039 Evarts St NE, WASHINGTON, DC, 20018","-76.99197,38.924305",76228908,R
133,"105 49TH PL NE, Washington, DC, 20019",Match,Exact,"105 49th Pl NE, WASHINGTON, DC, 20019","-76.93113,38.89088",76233582,R
143,"1065 THOMAS JEFFERSON ST NW, Washington, DC, 20007",Match,Exact,"1065 Thomas Jefferson St NW, WASHINGTON, DC, 20007","-77.060135,38.90465",76235328,R
150,"1072 30TH ST NW, Washington, DC, 20007",Match,Exact,"1072 30th St NW, WASHINGTON, DC, 20007","-77.05916,38.904305",76243996,L
157,"109 5TH ST SE, Washington, DC, 20003",Match,Exact,"109 5th St SE, WASHINGTON, DC, 20003","-76.99953,38.888542",76229932,R
165,"110 18TH ST SE, Washington, DC, 20003",Match,Exact,"110 18th St SE, WASHINGTON, DC, 20003","-76.97898,38.88852",76230529,L
172,"1103NW FERN ST NW, Washington, DC, 20012",Match,Exact,"1103 Fern St NW, WASHINGTON, DC, 20012","-77.026535,38.977997",76221705,R
183,"1108 JEFFERSON ST NW, Washington, DC, 20011",Match,Exact,"1108 Jefferson St NW, WASHINGTON, DC, 20011","-77.02692,38.955162",76223278,L
192,"1110 I ST NE, Washington, DC, 20002",Match,Exact,"1110 I St NE, WASHINGTON, DC, 20002","-76.99135,38.901333",76230138,L
199,"1112 42ND ST NE, Washington, DC, 20019",Match,Exact,"1112 42nd St NE, WASHINGTON, DC, 20019","-76.94342,38.904804",76233013,L
206,"1113 OWEN PL NE, Washington, DC, 20002",Match,Exact,"1113 Owen Pl NE, WASHINGTON, DC, 20002","-76.989586,38.906693",76230071,R
213,"1115 HOLBROOK TER NE, Washington, DC, 20002",Match,Exact,"1115 Holbrook Ter NE, WASHINGTON, DC, 20002","-76.98746,38.90789",76230106,R
220,"1118 K ST NE, Washington, DC, 20002",Match,Exact,"1118 K St NE, WASHINGTON, DC, 20002","-76.99075,38.902527",635190591,L
227,"112 MADISON ST NW, Washington, DC, 20011",Match,Exact,"112 Madison St NW, WASHINGTON, DC, 20011","-77.0122,38.95872",76223742,L
237,"1120 SOUTH CAROLINA AVE SE, Washington, DC, 20003",Match,Exact,"1120 S Carolina Ave SE, WASHINGTON, DC, 20003","-76.991234,38.88519",76230830,L
244,"1126 CONSTITUTION AVE NE, Washington, DC, 20002",Match,Exact,"1126 Constitution Ave NE, WASHINGTON, DC, 20002","-76.991165,38.89203",76230358,L
251,"1129 KALMIA RD NW, Washington, DC, 20012",Match,Exact,"1129 Kalmia Rd NW, WASHINGTON, DC, 20012","-77.02741,38.983936",76221667,R
260,"1130 K ST SE, Washington, DC, 20003",Match,Exact,"1130 K St SE, WASHINGTON, DC, 20003","-76.99112,38.878414",76230893,L
269,"1134 COLUMBIA RD NW, Washington, DC, 20009",Match,Exact,"1134 Columbia Rd NW, WASHINGTON, DC, 20009","-77.02777,38.927704",635190484,L
276,"1137 3RD ST NE, Washington, DC, 20002",Match,Exact,"1137 3rd St NE, WASHINGTON, DC, 20002","-77.00202,38.904457",76229685,R
283,"114 49TH ST NE, Washington, DC, 20019",Match,Exact,"114 49th St NE, WASHINGTON, DC, 20019","-76.93293,38.89098",76233571,L
290,"1142 ABBEY PL NE, Washington, DC, 20002",Match,Exact,"1142 Abbey Pl NE, WASHINGTON, DC, 20002","-77.00132,38.904564",76229709,L
297,"1147 6TH ST NE, Washington, DC, 20002",Match,Exact,"1147 6th St NE, WASHINGTON, DC, 20002","-76.99843,38.905025",76229717,R
304,"115 RHODE ISLAND AVE NE, Washington, DC, 20002",Match,Exact,"115 Rhode Island Ave NE, WASHINGTON, DC, 20002","-77.00581,38.91791",76224719,R
312,"116 16TH ST NE, Washington, DC, 20002",Match,Exact,"116 16th St NE, WASHINGTON, DC, 20002","-76.98223,38.891144",76230497,L
319,"117 RHODE ISLAND AVE NE, Washington, DC, 20002",Match,Exact,"117 Rhode Island Ave NE, WASHINGTON, DC, 20002","-77.00578,38.917923",76224719,R
329,"119 16TH ST SE, Washington, DC, 20003",Match,Exact,"119 16th St SE, WASHINGTON, DC, 20003","-76.98224,38.88844",76230512,R
336,"12 BROWNS CT SE, Washington, DC, 20003",Match,Exact,"12 Browns Ct SE, WASHINGTON, DC, 20003","-76.99833,38.888256",76236638,R
347,"120 5TH ST SE, Washington, DC, 20003",Match,Exact,"120 5th St SE, WASHINGTON, DC, 20003","-76.9995,38.888424",76229932,L
357,"1201 T ST NW, Washington, DC, 20009",Match,Exact,"1201 T St NW, WASHINGTON, DC, 20009","-77.02816,38.91559",76224292,R
365,"1205 D ST NE, Washington, DC, 20002",Match,Exact,"1205 D St NE, WASHINGTON, DC, 20002","-76.990074,38.89477",76230304,R
372,"1206 WYLIE ST NE, Washington, DC, 20002",Match,Exact,"1206 Wylie St NE, WASHINGTON, DC, 20002","-76.990036,38.900776",76230161,L
383,"1208 G ST SE, Washington, DC, 20003",Match,Exact,"1208 G St SE, WASHINGTON, DC, 20003","-76.98999,38.881283",76230850,L
392,"1209 TRINIDAD AVE NE, Washington, DC, 20002",Match,Exact,"1209 Trinidad Ave NE, WASHINGTON, DC, 20002","-76.98669,38.902557",76230150,R
403,"121 TENNESSEE AVE NE, Washington, DC, 20002",Match,Exact,"121 Tennessee Ave NE, WASHINGTON, DC, 20002","-76.98944,38.890747",76242991,R
410,"1210 OWEN PL NE, Washington, DC, 20002",Match,Exact,"1210 Owen Pl NE, WASHINGTON, DC, 20002","-76.9875,38.90586",76230112,L
422,"1211 T ST NW, Washington, DC, 20009",Match,Exact,"1211 T St NW, WASHINGTON, DC, 20009","-77.0283,38.91559",76224292,R
431,"1213 STAPLES ST NE, Washington, DC, 20002",Match,Exact,"1213 Staples St NE, WASHINGTON, DC, 20002","-76.98519,38.901966",76230222,R
438,"1214 GIRARD ST NW, Washington, DC, 20009",Match,Exact,"1214 Girard St NW, WASHINGTON, DC, 20009","-77.02856,38.925735",76224103,L
448,"1215 T ST NW, Washington, DC, 20009",Match,Exact,"1215 T St NW, WASHINGTON, DC, 20009","-77.02836,38.91559",76224292,R
457,"1218 29TH ST NW, Washington, DC, 20007",Match,Exact,"1218 29th St NW, WASHINGTON, DC, 20007","-77.058136,38.90573",76224999,L
464,"1219 F ST NE, Washington, DC, 20002",Match,Exact,"1219 F St NE, WASHINGTON, DC, 20002","-76.98984,38.897324",76230315,R
481,"1221 34TH PL SE, Washington, DC, 20019",Match,Exact,"1221 34th Pl SE, WASHINGTON, DC, 20019","-76.95645,38.87567",76232013,R
490,"1222 HALF ST SW, Washington, DC, 20024",Match,Exact,"1222 Half St SW, WASHINGTON, DC, 20024","-77.010635,38.876",76227183,L
499,"1224 ASPEN ST NW, Washington, DC, 20012",Match,Exact,"1224 Aspen St NW, WASHINGTON, DC, 20012","-77.028564,38.972248",76221787,L
506,"1225 I ST NE, Washington, DC, 20002",Match,Exact,"1225 I St NE, WASHINGTON, DC, 20002","-76.98972,38.901306",76230155,R
514,"1227 16TH ST NE, Washington, DC, 20002",Match,Exact,"1227 16th St NE, WASHINGTON, DC, 20002","-76.98045,38.906223",76230212,R
523,"1228 U ST SE, Washington, DC, 20020",Match,Exact,"1228 U St SE, WASHINGTON, DC, 20020","-76.98793,38.866383",76231076,L
533,"123 15TH ST NE, Washington, DC, 20002",Match,Exact,"123 15th St NE, WASHINGTON, DC, 20002","-76.98363,38.89152",76230487,R
540,"1231 31ST ST NW, Washington, DC, 20007",No_Match,,,"-77.0630627,38.9061722",,
551,"1234 OWEN PL NE, Washington, DC, 20002",Match,Exact,"1234 Owen Pl NE, WASHINGTON, DC, 20002","-76.98689,38.905598",76230112,L
560,"1237 31ST ST NW, Washington, DC, 20007",No_Match,,,"-77.0630717,38.9062772",,
567,"1238 KEARNY ST NE, Washington, DC, 20017",Match,Non_Exact,"1238 Kearney St NE, WASHINGTON, DC, 20017","-76.98992,38.930622",76228750,L
574,"124 46TH PL NE, Washington, DC, 20019",Match,Exact,"124 46th Pl NE, WASHINGTON, DC, 20019","-76.93587,38.891235",76233499,L
581,"1241 GALLATIN ST NE, Washington, DC, 20017",No_Match,,,"-76.9904937,38.9521312",,
592,"1243 10TH ST NW, Washington, DC, 20001",Match,Exact,"1243 10th St NW, WASHINGTON, DC, 20001","-77.02597,38.90647",624562346,R
