ID,Address,Match,Match Detail,AddMatch,LongLat,N,LR
5,"10 BROWNS CT SE, Washington, DC, 20003",Match,Exact,"10 Browns Ct SE, WASHINGTON, DC, 20003","-76.99834,38.888256",76236638,R
13,"1000 KENYON ST NW, Washington, DC, 20010",Match,Exact,"1000 Kenyon St NW, WASHINGTON, DC, 20010","-77.02645,38.929783",76224110,L
20,"1003 O ST NW, Washington, DC, 20001",Match,Exact,"1003 O St NW, WASHINGTON, DC, 20001","-77.02606,38.90859",76226109,R
27,"1006 18TH ST NE, Washington, DC, 20002",Match,Exact,"1006 18th St NE, WASHINGTON, DC, 20002","-76.978096,38.902637",76231239,L
35,"1008 C ST NE, Washington, DC, 20002",Match,Exact,"1008 C St NE, WASHINGTON, DC, 20002","-76.99251,38.89359",76230000,L
43,"101 PEABODY ST NE, Washington, DC, 20011",Match,Exact,"101 Peabody St NE, WASHINGTON, DC, 20011","-77.00581,38.962685",76223841,R
54,"10111/2 LAMONT ST NW, Washington, DC, 20010",No_Match,,,"38.9308973,-77.0292073",,
62,"1014 11TH ST NE, Washington, DC, 20002",Match,Exact,"1014 11th St NE, WASHINGTON, DC, 20002","-76.99155,38.902657",76230123,L
75,"1017 E ST NE, Washington, DC, 20002",Match,Exact,"1017 E St NE, WASHINGTON, DC, 20002","-76.992424,38.896103",76230294,R
82,"102 35TH ST NE, Washington, DC, 20019",Match,Exact,"102 35th St NE, WASHINGTON, DC, 20019","-76.95494,38.89087",76233107,L
89,"1021 51 ST NE, Washington, DC, 20019",Match,Exact,"1021 51st St NE, WASHINGTON, DC, 20019","-76.92626,38.90381",76233961,R
98,"1024 5TH ST NE, Washington, DC, 20002",Match,Exact,"1024 5th St NE, WASHINGTON, DC, 20002","-76.99953,38.902843",76229721,L
105,"1026 PERRY ST NE, Washington, DC, 20017",Match,Exact,"1026 Perry St NE, WASHINGTON, DC, 20017","-76.99216,38.93619",76228479,L
112,"1030 WISCONSIN AVE NW, Washington, DC, 20007",Match,Exact,"1030 Wisconsin Ave NW, WASHINGTON, DC, 20007","-77.06279,38.9035",76224942,L
119,"1036 45TH ST NE, Washington, DC, 20019",Match,Exact,"1036 45th St NE, WASHINGTON, DC, 20019","-76.93763,38.903584",76233267,L
128,"1041 CECIL PL NW, Washington, DC, 20007",Match,Exact,"1041 Cecil Pl NW, WASHINGTON, DC, 20007","-77.0639,38.9037",632618815,R
140,"1056 48TH PL NE, Washington, DC, 20019",Match,Exact,"1056 48th Pl NE, WASHINGTON, DC, 20019","-76.93273,38.903923",76233360,L
147,"107 PIERCE ST NW, Washington, DC, 20001",Match,Exact,"107 Pierce St NW, WASHINGTON, DC, 20001","-77.01242,38.904705",76226549,R
154,"108 7TH ST SE, Washington, DC, 20003",Match,Exact,"108 7th St SE, WASHINGTON, DC, 20003","-76.996155,38.88825",76234883,L
161,"11 DANBURY ST SW, Washington, DC, 20032",Match,Exact,"11 Danbury St SW, WASHINGTON, DC, 20032","-77.00865,38.827805",76227873,R
169,"1102 C ST SE, Washington, DC, 20003",Match,Exact,"1102 C St SE, WASHINGTON, DC, 20003","-76.99144,38.886047",76230826,L
180,"1107 D ST SE, Washington, DC, 20003",Match,Exact,"1107 D St SE, WASHINGTON, DC, 20003","-76.99144,38.88409",76230835,R
189,"111 4TH ST SE, Washington, DC, 20003",Match,Exact,"111 4th St SE, WASHINGTON, DC, 20003","-77.000595,38.88853",76229927,R
196,"1111 FAIRMONT ST NW, Washington, DC, 20009",Match,Exact,"1111 Fairmont St NW, WASHINGTON, DC, 20009","-77.0273,38.92477",76224236,R
203,"1113 4TH ST SE, Washington, DC, 20003",Match,Exact,"1113 4th St SE, WASHINGTON, DC, 20003","-77.000595,38.87736",76230634,R
210,"1114 SPRING RD NW, Washington, DC, 20010",Match,Exact,"1114 Spring Rd NW, WASHINGTON, DC, 20010","-77.02864,38.935986",76224029,L
217,"1118 45TH PL SE, Washington, DC, 20019",Match,Exact,"1118 45th Pl SE, WASHINGTON, DC, 20019","-76.93604,38.8782",76233840,L
224,"112 15TH ST NE, Washington, DC, 20002",Match,Exact,"112 15th St NE, WASHINGTON, DC, 20002","-76.983665,38.8915",76230487,L
233,"1120 FLORIDA AVE NE, Washington, DC, 20002",Match,Exact,"1120 Florida Ave NE, WASHINGTON, DC, 20002","-76.9912,38.9032",76230124,L
241,"1125 7TH ST NE, Washington, DC, 20002",Match,Exact,"1125 7th St NE, WASHINGTON, DC, 20002","-76.99615,38.9046",76229754,R
248,"1127 BUCHANAN ST NW, Washington, DC, 20011",Match,Exact,"1127 Buchanan St NW, WASHINGTON, DC, 20011","-77.02791,38.946136",76243581,R
255,"113 INGRAHAM ST NW, Washington, DC, 20011",Match,Exact,"113 Ingraham St NW, WASHINGTON, DC, 20011","-77.011894,38.954556",76223790,R
266,"1132 BARNABY TER SE, Washington, DC, 20032",Match,Exact,"1132 Barnaby Ter SE, WASHINGTON, DC, 20032","-76.98848,38.834522",76236728,L
273,"1135 HARVARD ST NW, Washington, DC, 20009",Match,Exact,"1135 Harvard St NW, WASHINGTON, DC, 20009","-77.02759,38.926754",76224102,R
280,"1139 46TH PL SE, Washington, DC, 20019",Match,Exact,"1139 46th Pl SE, WASHINGTON, DC, 20019","-76.933304,38.877377",76236687,R
287,"1140 44TH PL SE, Washington, DC, 20019",Match,Exact,"1140 44th Pl SE, WASHINGTON, DC, 20019","-76.9368,38.87776",76233831,L
294,"1145 4TH ST NE, Washington, DC, 20002",Match,Exact,"1145 4th St NE, WASHINGTON, DC, 20002","-77.00056,38.9046",76229711,R
301,"115 DUDDINGTON PL SE, Washington, DC, 20003",Match,Exact,"115 Duddington Pl SE, WASHINGTON, DC, 20003","-77.00546,38.882587",76227169,R
309,"1155 SUMMIT ST NE, Washington, DC, 20002",Match,Exact,"1155 Summit St NE, WASHINGTON, DC, 20002","-76.97573,38.90504",76231269,R
316,"1164 NEAL ST NE, Washington, DC, 20002",Match,Exact,"1164 Neal St NE, WASHINGTON, DC, 20002","-76.98978,38.90494",76230120,L
326,"1177 3RD ST NE, Washington, DC, 20002",Match,Exact,"1177 3rd St NE, WASHINGTON, DC, 20002","-77.00202,38.905163",76229685,R
333,"119 KENTUCKY AVE SE, Washington, DC, 20003",Match,Exact,"119 Kentucky Ave SE, WASHINGTON, DC, 20003","-76.98949,38.888866",76230375,R
344,"120 10TH ST NE, Washington, DC, 20002",Match,Exact,"120 10th St NE, WASHINGTON, DC, 20002","-76.99267,38.891056",76241549,L
352,"1200 6TH ST NE, Washington, DC, 20002",Match,Exact,"1200 6th St NE, WASHINGTON, DC, 20002","-76.99846,38.905674",76229670,L
361,"1203 STAPLES ST NE, Washington, DC, 20002",Match,Exact,"1203 Staples St NE, WASHINGTON, DC, 20002","-76.985245,38.901882",76230222,R
369,"1205 LINDEN PL NE, Washington, DC, 20002",Match,Exact,"1205 Linden Pl NE, WASHINGTON, DC, 20002","-76.990074,38.89954",76230165,R
376,"1207 ORREN ST NE, Washington, DC, 20002",Match,Exact,"1207 Orren St NE, WASHINGTON, DC, 20002","-76.98596,38.902233",76230151,R
387,"1209 LINDEN PL NE, Washington, DC, 20002",Match,Exact,"1209 Linden Pl NE, WASHINGTON, DC, 20002","-76.990005,38.89954",76230165,R
397,"121 34TH ST SE, Washington, DC, 20019",Match,Exact,"121 34th St SE, WASHINGTON, DC, 20019","-76.957535,38.887802",76231560,R
407,"1210 G ST NE, Washington, DC, 20002",Match,Exact,"1210 G St NE, WASHINGTON, DC, 20002","-76.98997,38.898922",76230311,L
416,"1211 C ST SE, Washington, DC, 20003",Match,Exact,"1211 C St SE, WASHINGTON, DC, 20003","-76.99002,38.88602",76240352,R
