ID,Address,Match,MatchDetail,AddressMatch,LongLat,N,LR
7,"10 N ST NW, Washington, DC, 20001",Match,Exact,"10 N St NW, WASHINGTON, DC, 20001","-77.010315,38.907223",76243039,L
15,"1001 EAST CAPITOL ST SE, Washington, DC, 20003",Tie,,,"38.8898089,-76.9948285",,
22,"1004 D ST SE, Washington, DC, 20003",Match,Exact,"1004 D St SE, WASHINGTON, DC, 20003","-76.992546,38.884117",76230696,L
29,"1006 JACKSON ST NE, Washington, DC, 20017",Match,Exact,"1006 Jackson St NE, WASHINGTON, DC, 20017","-76.99231,38.92951",76228746,L
38,"1009 BRYANT ST NE, Washington, DC, 20018",Match,Exact,"1009 Bryant St NE, WASHINGTON, DC, 20018","-76.992226,38.92235",76228674,R
45,"1010 8TH ST NE, Washington, DC, 20002",Match,Exact,"1010 8th St NE, WASHINGTON, DC, 20002","-76.99498,38.902897",76229762,L
56,"1013 15TH ST SE, Washington, DC, 20003",Match,Exact,"1013 15th St SE, WASHINGTON, DC, 20003","-76.98367,38.878193",76230991,R
66,"1014 NORTH CAROLINA AVE SE, Washington, DC, 20003",Match,Exact,"1014 North Carolina Ave SE, WASHINGTON, DC, 20003","-76.99246,38.88892",76230063,L
77,"1018 DOUGLAS ST NE, Washington, DC, 20018",Match,Exact,"1018 Douglas St NE, WASHINGTON, DC, 20018","-76.99197,38.923527",76228910,L
84,"102 KENILWORTH AVE NE, Washington, DC, 20019",Match,Exact,"102 Kenilworth Ave NE, WASHINGTON, DC, 20019","-76.95775,38.890923",76231550,L
91,"1021 8TH ST NE, Washington, DC, 20002",Match,Exact,"1021 8th St NE, WASHINGTON, DC, 20002","-76.99494,38.903015",76229762,R
100,"1025 10TH ST NE, Washington, DC, 20002",Match,Exact,"1025 10th St NE, WASHINGTON, DC, 20002","-76.99262,38.903084",76229793,R
107,"1029 6TH ST NE, Washington, DC, 20002",Match,Exact,"1029 6th St NE, WASHINGTON, DC, 20002","-76.99843,38.902885",76229723,R
114,"1031 6TH ST NE, Washington, DC, 20002",Match,Exact,"1031 6th St NE, WASHINGTON, DC, 20002","-76.99843,38.90291",76229723,R
121,"1038 45TH ST NE, Washington, DC, 20019",Match,Exact,"1038 45th St NE, WASHINGTON, DC, 20019","-76.93762,38.90362",76233267,L
132,"105 36TH ST NE, Washington, DC, 20019",Match,Exact,"105 36th St NE, WASHINGTON, DC, 20019","-76.95358,38.890842",76233108,R
142,"106 RITTENHOUSE ST NW, Washington, DC, 20011",Match,Exact,"106 Rittenhouse St NW, WASHINGTON, DC, 20011","-77.0123,38.96494",76222092,L
149,"107 SHERIDAN ST NE, Washington, DC, 20011",Match,Exact,"107 Sheridan St NE, WASHINGTON, DC, 20011","-77.0064,38.966404",76227959,R
156,"108 R ST NE, Washington, DC, 20002",Match,Exact,"108 R St NE, WASHINGTON, DC, 20002","-77.00617,38.91261",76228622,L
164,"110 10TH ST SE, Washington, DC, 20003",Match,Exact,"110 10th St SE, WASHINGTON, DC, 20003","-76.99263,38.888653",76230060,L
171,"1103 CONGRESS ST SE, Washington, DC, 20032",Match,Exact,"1103 Congress St SE, WASHINGTON, DC, 20032","-76.99104,38.841225",76232520,R
182,"1108 E ST SE, Washington, DC, 20003",Match,Exact,"1108 E St SE, WASHINGTON, DC, 20003","-76.99137,38.882816",76230842,L
191,"111 VAN BUREN ST NW, Washington, DC, 20012",Match,Exact,"111 Van Buren St NW, WASHINGTON, DC, 20012","-77.01183,38.96999",76222079,R
198,"1111 R ST NW, Washington, DC, 20009",Match,Exact,"1111 R St NW, WASHINGTON, DC, 20009","-77.02716,38.91262",76224325,R
205,"1113 MARYLAND AVE NE, Washington, DC, 20002",Match,Exact,"1113 Maryland Ave NE, WASHINGTON, DC, 20002","-76.99132,38.8969",76230292,R
212,"1115 7TH ST NE, Washington, DC, 20002",Match,Exact,"1115 7th St NE, WASHINGTON, DC, 20002","-76.99615,38.904232",76229756,R
219,"1118 BARNABY TER SE, Washington, DC, 20032",Match,Exact,"1118 Barnaby Ter SE, WASHINGTON, DC, 20032","-76.988625,38.834465",76236728,L
226,"112 DUDDINGTON PL SE, Washington, DC, 20003",Match,Exact,"112 Duddington Pl SE, WASHINGTON, DC, 20003","-77.00551,38.882618",76227169,L
236,"1120 MORSE ST NE, Washington, DC, 20002",Match,Exact,"1120 Morse St NE, WASHINGTON, DC, 20002","-76.99159,38.904522",76229789,L
243,"1125 PENN ST NE, Washington, DC, 20002",Match,Exact,"1125 Penn St NE, WASHINGTON, DC, 20002","-76.9889,38.907066",76230079,R
250,"1128 8TH ST NE, Washington, DC, 20002",Match,Exact,"1128 8th St NE, WASHINGTON, DC, 20002","-76.99498,38.904045",76229757,L
257,"113 WEBSTER ST NE, Washington, DC, 20011",Match,Exact,"113 Webster St NE, WASHINGTON, DC, 20011","-77.00534,38.944244",76237746,R
268,"1132 PENN ST NE, Washington, DC, 20002",Match,Exact,"1132 Penn St NE, WASHINGTON, DC, 20002","-76.98875,38.907032",76230079,L
275,"1137 19TH ST NE, Washington, DC, 20002",Match,Exact,"1137 19th St NE, WASHINGTON, DC, 20002","-76.9762,38.905003",76231240,R
282,"114 16TH ST NE, Washington, DC, 20002",Match,Exact,"114 16th St NE, WASHINGTON, DC, 20002","-76.98223,38.89112",76230497,L
289,"1141 4TH ST NE, Washington, DC, 20002",Match,Exact,"1141 4th St NE, WASHINGTON, DC, 20002","-77.00056,38.904526",76229711,R
296,"1145 OATES ST NE, Washington, DC, 20002",Match,Exact,"1145 Oates St NE, WASHINGTON, DC, 20002","-76.98945,38.905956",76230073,R
303,"115 QUINCY PL NE, Washington, DC, 20002",Match,Exact,"115 Quincy Pl NE, WASHINGTON, DC, 20002","-77.00637,38.911846",76226605,R
311,"1158 NEAL ST NE, Washington, DC, 20002",Match,Exact,"1158 Neal St NE, WASHINGTON, DC, 20002","-76.989914,38.904995",76230120,L
318,"117 QUINCY PL NE, Washington, DC, 20002",Match,Exact,"117 Quincy Pl NE, WASHINGTON, DC, 20002","-77.006325,38.911846",76226605,R
328,"1180 MORSE ST NE, Washington, DC, 20002",Match,Exact,"1180 Morse St NE, WASHINGTON, DC, 20002","-76.99013,38.903893",76229789,L
335,"12 8TH ST NE, Washington, DC, 20002",Match,Exact,"12 8th St NE, WASHINGTON, DC, 20002","-76.99498,38.88997",76230017,L
346,"120 53RD ST SE, Washington, DC, 20019",Match,Exact,"120 53rd St SE, WASHINGTON, DC, 20019","-76.9257,38.886696",76234080,L
354,"1200 STAPLES ST NE, Washington, DC, 20002",Match,Exact,"1200 Staples St NE, WASHINGTON, DC, 20002","-76.98529,38.90188",76230222,L
363,"1204 INGRAHAM ST NW, Washington, DC, 20011",Match,Exact,"1204 Ingraham St NW, WASHINGTON, DC, 20011","-77.02791,38.954067",76223284,L
371,"1206 MARYLAND AVE NE, Washington, DC, 20002",Match,Exact,"1206 Maryland Ave NE, WASHINGTON, DC, 20002","-76.99005,38.897446",76230313,L
382,"1208 D ST SE, Washington, DC, 20003",Match,Exact,"1208 D St SE, WASHINGTON, DC, 20003","-76.990005,38.884117",76230837,L
391,"1209 TRINIDAD AVE NE, Washington, DC, 20002",Match,Exact,"1209 Trinidad Ave NE, WASHINGTON, DC, 20002","-76.98669,38.902557",76230150,R
401,"121 PIERCE ST NW, Washington, DC, 20001",Match,Exact,"121 Pierce St NW, WASHINGTON, DC, 20001","-77.01272,38.904705",76226549,R
409,"1210 MEIGS PL NE, Washington, DC, 20002",Match,Exact,"1210 Meigs Pl NE, WASHINGTON, DC, 20002","-76.985886,38.908173",76230116,L
418,"1211 FLORIDA AVE NE, Washington, DC, 20002",Match,Exact,"1211 Florida Ave NE, WASHINGTON, DC, 20002","-76.989555,38.902466",76230137,R
430,"1213 QUEEN ST NE, Washington, DC, 20002",Match,Exact,"1213 Queen St NE, WASHINGTON, DC, 20002","-76.98665,38.906826",76230114,R
437,"1214 EUCLID ST NW, Washington, DC, 20009",Match,Exact,"1214 Euclid St NW, WASHINGTON, DC, 20009","-77.028336,38.923748",76224238,L
447,"1215 QUINCY ST NW, Washington, DC, 20011",Match,Exact,"1215 Quincy St NW, WASHINGTON, DC, 20011","-77.02784,38.937622",632575853,R
455,"1217 POTOMAC AVE SE, Washington, DC, 20003",Match,Exact,"1217 Potomac Ave SE, WASHINGTON, DC, 20003","-76.98986,38.87854",76238037,R
463,"1219 33RD ST NW, Washington, DC, 20007",Match,Exact,"1219 33rd St NW, WASHINGTON, DC, 20007","-77.066055,38.90568",76224880,R
480,"1220 OWEN PL NE, Washington, DC, 20002",Match,Exact,"1220 Owen Pl NE, WASHINGTON, DC, 20002","-76.98725,38.90575",76230112,L
489,"1222 ALLISON ST NE, Washington, DC, 20017",Match,Exact,"1222 Allison St NE, WASHINGTON, DC, 20017","-76.98982,38.94527",76228281,L
498,"1224 44TH ST NE, Washington, DC, 20019",Match,Exact,"1224 44th St NE, WASHINGTON, DC, 20019","-76.94029,38.906475",76233217,L
505,"1225 CARROLLSBURG PL SW, Washington, DC, 20024",Match,Exact,"1225 Carrollsburg Pl SW, WASHINGTON, DC, 20024","-77.00992,38.875965",76227184,R
513,"1226 RANDOLPH ST NE, Washington, DC, 20017",Match,Exact,"1226 Randolph St NE, WASHINGTON, DC, 20017","-76.98969,38.938328",76228340,L
522,"1227 STAPLES ST NE, Washington, DC, 20002",Match,Exact,"1227 Staples St NE, WASHINGTON, DC, 20002","-76.98511,38.90208",76230222,R
530,"1229 MICHIGAN AVE NE, Washington, DC, 20017",Match,Exact,"1229 Michigan Ave NE, WASHINGTON, DC, 20017","-76.98916,38.93969",76228336,R
539,"1231 28TH ST NW, Washington, DC, 20007",Match,Exact,"1231 28th St NW, WASHINGTON, DC, 20007","-77.05703,38.906166",76225005,R
550,"1234 OATES ST NE, Washington, DC, 20002",Match,Exact,"1234 Oates St NE, WASHINGTON, DC, 20002","-76.98727,38.905056",76230131,L
557,"1236 POTOMAC ST NW, Washington, DC, 20007",Match,Exact,"1236 Potomac St NW, WASHINGTON, DC, 20007","-77.06524,38.906162",76224900,L
566,"1238 HAMLIN ST NE, Washington, DC, 20017",Match,Exact,"1238 Hamlin St NE, WASHINGTON, DC, 20017","-76.989075,38.927692",76228762,L
573,"124 3RD ST NE, Washington, DC, 20002",Match,Exact,"124 3rd St NE, WASHINGTON, DC, 20002","-77.00206,38.891228",76229882,L
580,"1241 EVARTS ST NE, Washington, DC, 20018",Match,Exact,"1241 Evarts St NE, WASHINGTON, DC, 20018","-76.98938,38.924435",76228921,R
591,"1242 U ST SE, Washington, DC, 20020",Match,Exact,"1242 U St SE, WASHINGTON, DC, 20020","-76.98782,38.866364",76231076,L
600,"1244 I ST NE, Washington, DC, 20002",Match,Exact,"1244 I St NE, WASHINGTON, DC, 20002","-76.989365,38.901333",76230155,L
609,"1247 GALLATIN ST NE, Washington, DC, 20017",No_Match,,,"38.9520942,-76.990266",,
616,"1249 IRVING ST NE, Washington, DC, 20017",Match,Exact,"1249 Irving St NE, WASHINGTON, DC, 20017","-76.98955,38.928635",76228754,R
625,"1250 C ST NE, Washington, DC, 20002",Match,Exact,"1250 C St NE, WASHINGTON, DC, 20002","-76.98893,38.89359",76230309,L
633,"1255 WYLIE ST NE, Washington, DC, 20002",Match,Exact,"1255 Wylie St NE, WASHINGTON, DC, 20002","-76.98919,38.900745",76230161,R
640,"1259 16TH ST NE, Washington, DC, 20002",Match,Exact,"1259 16th St NE, WASHINGTON, DC, 20002","-76.980156,38.90669",76230210,R
649,"1261 16TH ST NE, Washington, DC, 20002",Match,Exact,"1261 16th St NE, WASHINGTON, DC, 20002","-76.98015,38.9067",76230210,R
658,"1266 OATES ST NE, Washington, DC, 20002",Match,Exact,"1266 Oates St NE, WASHINGTON, DC, 20002","-76.98645,38.90471",76230131,L
668,"1271 PENN ST NE, Washington, DC, 20002",Match,Exact,"1271 Penn St NE, WASHINGTON, DC, 20002","-76.98574,38.905796",76230110,R
678,"1281 SIMMS PL NE, Washington, DC, 20002",Match,Exact,"1281 Simms Pl NE, WASHINGTON, DC, 20002","-76.98321,38.90869",76230105,R
687,"13 ANACOSTIA AVE NE, Washington, DC, 20019",Match,Exact,"13 Anacostia Ave NE, WASHINGTON, DC, 20019","-76.96122,38.8901",76231486,R
696,"130 S ST NW, Washington, DC, 20001",Match,Exact,"130 S St NW, WASHINGTON, DC, 20001","-77.01281,38.914074",76224653,L
703,"1301 BUCHANAN ST NE, Washington, DC, 20017",Match,Exact,"1301 Buchanan St NE, WASHINGTON, DC, 20017","-76.98887,38.946255",76228289,R
712,"1302 EASTERN AVE NE, Washington, DC, 20019",Match,Exact,"1302 Eastern Ave NE, WASHINGTON, DC, 20019","-76.929474,38.908585",76233341,L
720,"1304 FARRAGUT ST NW, Washington, DC, 20011",Match,Exact,"1304 Farragut St NW, WASHINGTON, DC, 20011","-77.03002,38.950787",76222341,L
730,"1305 C ST NE, Washington, DC, 20002",Match,Exact,"1305 C St NE, WASHINGTON, DC, 20002","-76.988014,38.893562",76230336,R
737,"1306 SHEPHERD ST NW, Washington, DC, 20011",Match,Exact,"1306 Shepherd St NW, WASHINGTON, DC, 20011","-77.03002,38.939728",76222491,L
746,"1309 6TH ST NW, Washington, DC, 20001",Match,Exact,"1309 6th St NW, WASHINGTON, DC, 20001","-77.01988,38.907406",76226231,R
755,"131 DUDDINGTON PL SE, Washington, DC, 20003",Match,Exact,"131 Duddington Pl SE, WASHINGTON, DC, 20003","-77.00512,38.882587",76227169,R
766,"1310 RHODE ISLAND AVE NW, Washington, DC, 20005",Match,Exact,"1310 Rhode Island Ave NW, WASHINGTON, DC, 20005","-77.0305,38.90933",76225720,L
775,"1311 IRVING ST NW, Washington, DC, 20010",Match,Exact,"1311 Irving St NW, WASHINGTON, DC, 20010","-77.03013,38.92865",76223016,R
784,"1312 SPRING RD NW, Washington, DC, 20010",Match,Exact,"1312 Spring Rd NW, WASHINGTON, DC, 20010","-77.030075,38.936367",76222958,L
796,"1314 RIGGS ST NW, Washington, DC, 20009",Match,Non_Exact,"1314 Riggs Pl NW, WASHINGTON, DC, 20009","-77.03004,38.913334",76223213,L
805,"1316 33RD ST NW, Washington, DC, 20007",Match,Exact,"1316 33rd St NW, WASHINGTON, DC, 20007","-77.066086,38.906998",76224876,L
812,"1317 CAROLINA AVE SE, Washington, DC, 20003",Match,Non_Exact,"1317 S Carolina Ave SE, WASHINGTON, DC, 20003","-76.98772,38.886093",76230855,R
821,"1319 30TH ST NW, Washington, DC, 20007",Match,Exact,"1319 30th St NW, WASHINGTON, DC, 20007","-77.05918,38.90749",76224981,R
828,"1319 TRINIDAD AVE NE, Washington, DC, 20002",Match,Exact,"1319 Trinidad Ave NE, WASHINGTON, DC, 20002","-76.985985,38.90356",76230146,R
835,"1320 I ST NE, Washington, DC, 20002",Match,Exact,"1320 I St NE, WASHINGTON, DC, 20002","-76.98796,38.901333",76230157,L
842,"1321 DEXTER TER SE, Washington, DC, 20020",Match,Exact,"1321 Dexter Ter SE, WASHINGTON, DC, 20020","-76.99066,38.861046",76231095,R
850,"1322 RITTENHOUSE ST NW, Washington, DC, 20011",Match,Exact,"1322 Rittenhouse St NW, WASHINGTON, DC, 20011","-77.03064,38.96542",76221645,L
860,"1323 NORTH CAROLINA AVE NE, Washington, DC, 20002",Match,Exact,"1323 North Carolina Ave NE, WASHINGTON, DC, 20002","-76.987785,38.89079",76237038,R
867,"1325 NAYLOR CT NW, Washington, DC, 20001",Match,Exact,"1325 Naylor Ct NW, WASHINGTON, DC, 20001","-77.0251,38.908348",624365150,L
877,"1326 OTIS PL NW, Washington, DC, 20010",Match,Exact,"1326 Otis Pl NW, WASHINGTON, DC, 20010","-77.030815,38.934555",76222975,L
888,"1328 INDEPENDENCE AVE SE, Washington, DC, 20003",Match,Exact,"1328 Independence Ave SE, WASHINGTON, DC, 20003","-76.98748,38.887608",624065516,L
895,"1329 FLORIDA AVE NW, Washington, DC, 20009",Match,Exact,"1329 Florida Ave NW, WASHINGTON, DC, 20009","-77.03038,38.920383",76224248,R
903,"1330 TEWKESBURY PL NW, Washington, DC, 20012",Match,Exact,"1330 Tewkesbury Pl NW, WASHINGTON, DC, 20012","-77.0309,38.968258",76221651,L
911,"1333 1ST ST NW, Washington, DC, 20001",Match,Exact,"1333 1st St NW, WASHINGTON, DC, 20001","-77.01215,38.907696",76226508,R
920,"1334 K ST SE, Washington, DC, 20003",Match,Exact,"1334 K St SE, WASHINGTON, DC, 20003","-76.9873,38.878414",76230926,L
927,"1335 V ST NW, Washington, DC, 20009",Match,Exact,"1335 V St NW, WASHINGTON, DC, 20009","-77.030464,38.91813",76223201,R
935,"1336 W ST NW, Washington, DC, 20009",Match,Exact,"1336 W St NW, WASHINGTON, DC, 20009","-77.03051,38.91917",76223161,L
943,"1338 K ST SE, Washington, DC, 20003",Match,Exact,"1338 K St SE, WASHINGTON, DC, 20003","-76.9872,38.878414",76230926,L
950,"134 QUINCY PL NE, Washington, DC, 20002",Match,Exact,"134 Quincy Pl NE, WASHINGTON, DC, 20002","-77.00584,38.911873",76226605,L
959,"1340 SOUTH CAROLINA AVE SE, Washington, DC, 20003",Match,Exact,"1340 S Carolina Ave SE, WASHINGTON, DC, 20003","-76.9863,38.8865",624065524,L
