ID,Address,Match,MatchDetail,AddressMatch,Long,Lat,LR
1,"100 ONEIDA ST NE, Washington, DC, 20011",Match,Exact,"100 Oneida St NE, WASHINGTON, DC, 20011","-77.00576,38.962044",76223840,L
2,"1008 10TH ST NE, Washington, DC, 20002",Match,Exact,"1008 10th St NE, WASHINGTON, DC, 20002","-76.99266,38.902935",76229793,L
3,"1009 9TH ST NE, Washington, DC, 20002",Match,Exact,"1009 9th St NE, WASHINGTON, DC, 20002","-76.99374,38.902935",76229787,R
4,"1010 CRITTENDEN ST NE, Washington, DC, 20017",Match,Exact,"1010 Crittenden St NE, WASHINGTON, DC, 20017","-76.99083,38.947304",76228268,L
5,"1010 CRITTENDEN ST NE, Washington, DC, 20017",Match,Exact,"1010 Crittenden St NE, WASHINGTON, DC, 20017","-76.99083,38.947304",76228268,L
6,"1010 K ST NE, Washington, DC, 20002",Match,Exact,"1010 K St NE, WASHINGTON, DC, 20002","-76.992485,38.902527",76230121,L
7,"1013 DECATUR ST NE, Washington, DC, 20017",Match,Exact,"1013 Decatur St NE, WASHINGTON, DC, 20017","-76.99239,38.94825",76228256,R
8,"1014 BRYANT ST NE, Washington, DC, 20018",Match,Exact,"1014 Bryant St NE, WASHINGTON, DC, 20018","-76.99215,38.922344",76228674,L
9,"1016 48TH ST NE, Washington, DC, 20019",Match,Exact,"1016 48th St NE, WASHINGTON, DC, 20019","-76.93378,38.903744",76233358,L
10,"1016 QUEBEC PL NW, Washington, DC, 20010",Match,Exact,"1016 Quebec Pl NW, WASHINGTON, DC, 20010","-77.02744,38.93696",76224028,L
11,"1022 TAUSSIG PL NE, Washington, DC, 20017",Match,Exact,"1022 Taussig Pl NE, WASHINGTON, DC, 20017","-76.992035,38.941277",76228308,L
12,"1038 BARNABY TER SE, Washington, DC, 20032",Match,Exact,"1038 Barnaby Ter SE, WASHINGTON, DC, 20032","-76.98948,38.834137",76236728,L
13,"1047 TAUSSIG PL NE, Washington, DC, 20017",Match,Exact,"1047 Taussig Pl NE, WASHINGTON, DC, 20017","-76.9915,38.94125",76228308,R
14,"1054 48TH ST NE, Washington, DC, 20019",Match,Exact,"1054 48th St NE, WASHINGTON, DC, 20019","-76.93378,38.90415",76233358,L
15,"1107 16TH ST NE, Washington, DC, 20002",Match,Exact,"1107 16th St NE, WASHINGTON, DC, 20002","-76.9815,38.90462",76230253,R
16,"1107 16TH ST NE, Washington, DC, 20002",Match,Exact,"1107 16th St NE, WASHINGTON, DC, 20002","-76.9815,38.90462",76230253,R
17,"1107 C ST NE, Washington, DC, 20002",Match,Exact,"1107 C St NE, WASHINGTON, DC, 20002","-76.9914,38.893566",76230305,R
18,"1109 I ST NE, Washington, DC, 20002",Match,Exact,"1109 I St NE, WASHINGTON, DC, 20002","-76.99137,38.901306",76230138,R
19,"112 RITTENHOUSE ST NE, Washington, DC, 20011",Match,Exact,"112 Rittenhouse St NE, WASHINGTON, DC, 20011","-77.00644,38.965527",76222140,L
20,"1120 GERANIUM ST NW, Washington, DC, 20012",Match,Exact,"1120 Geranium St NW, WASHINGTON, DC, 20012","-77.02679,38.979378",76221702,L
21,"113 WEBSTER ST NW, Washington, DC, 20011",Match,Exact,"113 Webster St NW, WASHINGTON, DC, 20011","-77.0129,38.944393",76223928,R
22,"1131 CHAPLIN ST SE, Washington, DC, 20019",Match,Exact,"1131 Chaplin St SE, WASHINGTON, DC, 20019","-76.93885,38.877262",76233827,R
23,"1170 MORSE ST NE, Washington, DC, 20002",Match,Exact,"1170 Morse St NE, WASHINGTON, DC, 20002","-76.99037,38.904",76229789,L
24,"12 EVARTS ST NE, Washington, DC, 20002",Match,Exact,"12 Evarts St NE, WASHINGTON, DC, 20002","-77.00886,38.92453",76224665,L
25,"12 HANOVER PL NW, Washington, DC, 20001",Match,Exact,"12 Hanover Pl NW, WASHINGTON, DC, 20001","-77.00923,38.907837",635190660,R
26,"120 BRYANT ST NW, Washington, DC, 20001",Match,Exact,"120 Bryant St NW, WASHINGTON, DC, 20001","-77.01281,38.921238",76224582,L
27,"1201 QUEEN ST NE, Washington, DC, 20002",Match,Exact,"1201 Queen St NE, WASHINGTON, DC, 20002","-76.98707,38.907005",76230114,R
28,"1201 QUEEN ST NE, Washington, DC, 20002",Match,Exact,"1201 Queen St NE, WASHINGTON, DC, 20002","-76.98707,38.907005",76230114,R
29,"1205 C ST NE, Washington, DC, 20002",Match,Exact,"1205 C St NE, WASHINGTON, DC, 20002","-76.99004,38.893562",76230307,R
30,"1207 QUEEN ST NE, Washington, DC, 20002",Match,Exact,"1207 Queen St NE, WASHINGTON, DC, 20002","-76.986855,38.906918",76230114,R
31,"1208 34TH PL SE, Washington, DC, 20019",Match,Exact,"1208 34th Pl SE, WASHINGTON, DC, 20019","-76.95633,38.875797",76232013,L
32,"1209 S ST NW, Washington, DC, 20009",Match,Exact,"1209 S St NW, WASHINGTON, DC, 20009","-77.028275,38.91411",76224314,R
33,"121 18TH ST SE, Washington, DC, 20003",Match,Exact,"121 18th St SE, WASHINGTON, DC, 20003","-76.97901,38.888416",76230529,R
34,"121 36TH ST NE, Washington, DC, 20019",Match,Exact,"121 36th St NE, WASHINGTON, DC, 20019","-76.95334,38.891125",76233108,R
35,"121 ROCK CREEK CHURCH RD NW, Washington, DC, 20011",Match,Exact,"121 Rock Creek Church Rd NW, WASHINGTON, DC, 20011","-77.012566,38.942997",76223970,R
36,"1210 POTOMAC AVE SE, Washington, DC, 20003",Match,Exact,"1210 Potomac Ave SE, WASHINGTON, DC, 20003","-76.98998,38.87852",76238037,L
37,"1211 QUEEN ST NE, Washington, DC, 20002",Match,Exact,"1211 Queen St NE, WASHINGTON, DC, 20002","-76.98672,38.906857",76230114,R
38,"1211 RAUM ST NE, Washington, DC, 20002",Match,Exact,"1211 Raum St NE, WASHINGTON, DC, 20002","-76.98545,38.908787",76230118,R
39,"1213 18TH ST NE, Washington, DC, 20002",Match,Exact,"1213 18th St NE, WASHINGTON, DC, 20002","-76.97803,38.905857",76231230,R
40,"1215 I ST SE, Washington, DC, 20003",Match,Exact,"1215 I St SE, WASHINGTON, DC, 20003","-76.9899,38.879265",76230916,R
41,"1215 INGRAHAM ST NW, Washington, DC, 20011",Match,Exact,"1215 Ingraham St NW, WASHINGTON, DC, 20011","-77.02808,38.954094",76223284,R
42,"1217 18TH ST NE, Washington, DC, 20002",Match,Exact,"1217 18th St NE, WASHINGTON, DC, 20002","-76.97803,38.905907",76231230,R
43,"1217 UPSHUR ST NE, Washington, DC, 20017",Match,Exact,"1217 Upshur St NE, WASHINGTON, DC, 20017","-76.98914,38.941784",76228318,R
44,"1219 FLORAL ST NW, Washington, DC, 20012",Match,Exact,"1219 Floral St NW, WASHINGTON, DC, 20012","-77.02827,38.978703",76221694,R
45,"1219 GALLATIN ST NW, Washington, DC, 20011",Match,Exact,"1219 Gallatin St NW, WASHINGTON, DC, 20011","-77.027916,38.951885",76223290,R
46,"1219 INDEPENDENCE AVE SE, Washington, DC, 20003",Match,Exact,"1219 Independence Ave SE, WASHINGTON, DC, 20003","-76.98983,38.88758",76230378,R
47,"1219 KENNEDY ST NW, Washington, DC, 20011",Match,Exact,"1219 Kennedy St NW, WASHINGTON, DC, 20011","-77.02839,38.95623",76223270,R
48,"1220 JACKSON ST NE, Washington, DC, 20017",Match,Exact,"1220 Jackson St NE, WASHINGTON, DC, 20017","-76.99022,38.92962",76228752,L
49,"1221 TRINIDAD AVE NE, Washington, DC, 20002",Match,Exact,"1221 Trinidad Ave NE, WASHINGTON, DC, 20002","-76.98662,38.90266",76230150,R
50,"1223 IRVING ST NE, Washington, DC, 20017",Match,Exact,"1223 Irving St NE, WASHINGTON, DC, 20017","-76.9901,38.928604",76228754,R
51,"1226 QUINCY ST NW, Washington, DC, 20011",Match,Exact,"1226 Quincy St NW, WASHINGTON, DC, 20011","-77.02793,38.93759",632575853,L
52,"1227 ORREN ST NE, Washington, DC, 20002",Match,Exact,"1227 Orren St NE, WASHINGTON, DC, 20002","-76.98585,38.9024",76230151,R
53,"1229 CONSTITUTION AVE NE, Washington, DC, 20002",Match,Exact,"1229 Constitution Ave NE, WASHINGTON, DC, 20002","-76.98911,38.892002",76230364,R
54,"123 11TH ST SE, Washington, DC, 20003",Match,Exact,"123 11th St SE, WASHINGTON, DC, 20003","-76.99155,38.88856",632589620,R
55,"1234 45TH PL SE, Washington, DC, 20019",Match,Exact,"1234 45th Pl SE, WASHINGTON, DC, 20019","-76.934906,38.875916",76233856,L
56,"1234 C ST NE, Washington, DC, 20002",Match,Exact,"1234 C St NE, WASHINGTON, DC, 20002","-76.98912,38.89359",76230309,L
57,"1237 16TH ST NE, Washington, DC, 20002",Match,Exact,"1237 16th St NE, WASHINGTON, DC, 20002","-76.98033,38.906418",76230212,R
58,"1242 NEAL ST NE, Washington, DC, 20002",Match,Exact,"1242 Neal St NE, WASHINGTON, DC, 20002","-76.9877,38.904057",76230133,L
59,"1242 POTOMAC ST NW, Washington, DC, 20007",Match,Exact,"1242 Potomac St NW, WASHINGTON, DC, 20007","-77.06524,38.90622",76224900,L
60,"1242 POTOMAC ST NW, Washington, DC, 20007",Match,Exact,"1242 Potomac St NW, WASHINGTON, DC, 20007","-77.06524,38.90622",76224900,L
61,"1243 LINDEN PL NE, Washington, DC, 20002",Match,Exact,"1243 Linden Pl NE, WASHINGTON, DC, 20002","-76.989395,38.899536",76230165,R
62,"1247 FARRAGUT PL NE, Washington, DC, 20017",Match,Exact,"1247 Farragut Pl NE, WASHINGTON, DC, 20017","-76.9887,38.95161",76228244,R
63,"125 36TH ST NE, Washington, DC, 20019",Match,Exact,"125 36th St NE, WASHINGTON, DC, 20019","-76.95328,38.891197",76233108,R
64,"1252 PENN ST NE, Washington, DC, 20002",Match,Exact,"1252 Penn St NE, WASHINGTON, DC, 20002","-76.98619,38.90594",76230110,L
65,"126 53RD ST SE, Washington, DC, 20019",Match,Exact,"126 53rd St SE, WASHINGTON, DC, 20019","-76.925705,38.88665",76234080,L
66,"1265 OWEN PL NE, Washington, DC, 20002",Match,Exact,"1265 Owen Pl NE, WASHINGTON, DC, 20002","-76.986145,38.905247",76230112,R
67,"127 18TH ST SE, Washington, DC, 20003",Match,Exact,"127 18th St SE, WASHINGTON, DC, 20003","-76.97901,38.88836",76230529,R
68,"1278 DELAFIELD PL NE, Washington, DC, 20017",Match,Exact,"1278 Delafield Pl NE, WASHINGTON, DC, 20017","-76.98748,38.949467",76228286,L
69,"1279 PENN ST NE, Washington, DC, 20002",Match,Exact,"1279 Penn St NE, WASHINGTON, DC, 20002","-76.98552,38.90581",76230110,R
70,"1288 NEAL ST NE, Washington, DC, 20002",Match,Exact,"1288 Neal St NE, WASHINGTON, DC, 20002","-76.98653,38.903553",76230133,L
71,"13 Q ST NE, Washington, DC, 20002",Match,Exact,"13 Q St NE, WASHINGTON, DC, 20002","-77.00865,38.9111",76226581,R
72,"1301 TRINIDAD AVE NE, Washington, DC, 20002",Match,Exact,"1301 Trinidad Ave NE, WASHINGTON, DC, 20002","-76.98609,38.90341",76230146,R
73,"1303 ALLISON ST NW, Washington, DC, 20011",Match,Exact,"1303 Allison St NW, WASHINGTON, DC, 20011","-77.029915,38.945076",76223459,R
74,"1304 SHEPHERD ST NW, Washington, DC, 20011",Match,Exact,"1304 Shepherd St NW, WASHINGTON, DC, 20011","-77.02997,38.939728",76222491,L
75,"1304 TRINIDAD AVE NE, Washington, DC, 20002",Match,Exact,"1304 Trinidad Ave NE, WASHINGTON, DC, 20002","-76.9861,38.903458",76230146,L
76,"1307 TAYLOR ST NW, Washington, DC, 20011",Match,Exact,"1307 Taylor St NW, WASHINGTON, DC, 20011","-77.03002,38.94082",76222489,R
77,"1309 NORTH CAROLINA AVE NE, Washington, DC, 20002",Match,Exact,"1309 North Carolina Ave NE, WASHINGTON, DC, 20002","-76.988075,38.89067",76237038,R
78,"131 JEFFERSON ST NW, Washington, DC, 20011",Match,Exact,"131 Jefferson St NW, WASHINGTON, DC, 20011","-77.01227,38.95562",76223783,R
