"","ShorterSales$Address","city","state","zip"
"1","100 ONEIDA ST NE","Washington","DC",20011
"2","1008 10TH ST NE","Washington","DC",20002
"3","1009 9TH ST NE","Washington","DC",20002
"4","1010 CRITTENDEN ST NE","Washington","DC",20017
"5","1010 CRITTENDEN ST NE","Washington","DC",20017
"6","1010 K ST NE","Washington","DC",20002
"7","1013 DECATUR ST NE","Washington","DC",20017
"8","1014 BRYANT ST NE","Washington","DC",20018
"9","1016 48TH ST NE","Washington","DC",20019
"10","1016 QUEBEC PL NW","Washington","DC",20010
"11","1022 TAUSSIG PL NE","Washington","DC",20017
"12","1038 BARNABY TER SE","Washington","DC",20032
"13","1047 TAUSSIG PL NE","Washington","DC",20017
"14","1054 48TH ST NE","Washington","DC",20019
"15","1107 16TH ST NE","Washington","DC",20002
"16","1107 16TH ST NE","Washington","DC",20002
"17","1107 C ST NE","Washington","DC",20002
"18","1109 I ST NE","Washington","DC",20002
"19","112 RITTENHOUSE ST NE","Washington","DC",20011
"20","1120 GERANIUM ST NW","Washington","DC",20012
"21","113 WEBSTER ST NW","Washington","DC",20011
"22","1131 CHAPLIN ST SE","Washington","DC",20019
"23","1170 MORSE ST NE","Washington","DC",20002
"24","12 EVARTS ST NE","Washington","DC",20002
"25","12 HANOVER PL NW","Washington","DC",20001
"26","120 BRYANT ST NW","Washington","DC",20001
"27","1201 QUEEN ST NE","Washington","DC",20002
"28","1201 QUEEN ST NE","Washington","DC",20002
"29","1205 C ST NE","Washington","DC",20002
"30","1207 QUEEN ST NE","Washington","DC",20002
"31","1208 34TH PL SE","Washington","DC",20019
"32","1209 S ST NW","Washington","DC",20009
"33","121 18TH ST SE","Washington","DC",20003
"34","121 36TH ST NE","Washington","DC",20019
"35","121 ROCK CREEK CHURCH RD NW","Washington","DC",20011
"36","1210 POTOMAC AVE SE","Washington","DC",20003
"37","1211 QUEEN ST NE","Washington","DC",20002
"38","1211 RAUM ST NE","Washington","DC",20002
"39","1213 18TH ST NE","Washington","DC",20002
"40","1215 I ST SE","Washington","DC",20003
"41","1215 INGRAHAM ST NW","Washington","DC",20011
"42","1217 18TH ST NE","Washington","DC",20002
"43","1217 UPSHUR ST NE","Washington","DC",20017
"44","1219 FLORAL ST NW","Washington","DC",20012
"45","1219 GALLATIN ST NW","Washington","DC",20011
