ID,Address,Match,MatchDetail,AddressMatch,LongLat,N,LR
942,"1338 HEMLOCK ST NW, Washington, DC, 20012",Match,Exact,"1338 Hemlock St NW, WASHINGTON, DC, 20012","-77.03163,38.98134",76221534,L
1414,"1466 T ST NW, Washington, DC, 20009",Match,Exact,"1466 T St NW, WASHINGTON, DC, 20009","-77.03411,38.915558",76223180,L
3282,"2763 UNICORN LN NW, Washington, DC, 20015",Match,Exact,"2763 Unicorn Ln NW, WASHINGTON, DC, 20015","-77.05535,38.974434",76234732,L
6872,"5930 4TH ST NW, Washington, DC, 20011",Match,Exact,"5930 4th St NW, WASHINGTON, DC, 20011","-77.01805,38.962147",76223363,L
949,"1339 KALMIA RD NW, Washington, DC, 20012",Match,Exact,"1339 Kalmia Rd NW, WASHINGTON, DC, 20012","-77.031784,38.984806",76221518,R
7348,"6621 1ST ST NW, Washington, DC, 20012",No_Match,,,,,
334,"12 10TH ST NE, Washington, DC, 20002",Match,Exact,"12 10th St NE, WASHINGTON, DC, 20002","-76.99266,38.89004",632575617,L
5376,"4416 Q ST NW, Washington, DC, 20007",No_Match,,,,,
7357,"6636 BLAIR RD NW, Washington, DC, 20012",Match,Exact,"6636 Blair Rd NW, WASHINGTON, DC, 20012","-77.015274,38.970444",76222029,L
5368,"4415 49TH ST NW, Washington, DC, 20016",Match,Exact,"4415 49th St NW, WASHINGTON, DC, 20016","-77.09675,38.9469",76219511,R
745,"1308 TUCKERMAN ST NW, Washington, DC, 20011",Match,Exact,"1308 Tuckerman St NW, WASHINGTON, DC, 20011","-77.03015,38.967552",76221631,L
3483,"3002 R ST NW, Washington, DC, 20007",Match,Exact,"3002 R St NW, WASHINGTON, DC, 20007","-77.059456,38.912533",76236759,L
1821,"1632 E ST SE, Washington, DC, 20003",Match,Exact,"1632 E St SE, WASHINGTON, DC, 20003","-76.98172,38.88285",76230975,L
2952,"2328 2ND ST NE, Washington, DC, 20002",Match,Exact,"2328 2nd St NE, WASHINGTON, DC, 20002","-77.00352,38.920837",76228567,L
8009,"913 14TH  ST SE ST E, Washington, DC, 20003",Match,Exact,"913 14th St SE, WASHINGTON, DC, 20003","-76.98553,38.87937",76230886,R
6865,"5911 4TH ST NW, Washington, DC, 20011",Match,Exact,"5911 4th St NW, WASHINGTON, DC, 20011","-77.01801,38.96204",76223363,R
538,"1230 NEAL ST NE, Washington, DC, 20002",Match,Exact,"1230 Neal St NE, WASHINGTON, DC, 20002","-76.98801,38.904186",76230133,L
6497,"5311 NEBRASKA AVE NW, Washington, DC, 20015",Match,Exact,"5311 Nebraska Ave NW, WASHINGTON, DC, 20015","-77.06746,38.95946",76220587,R
6094,"5035 MACOMB ST NW, Washington, DC, 20016",Match,Exact,"5035 Macomb St NW, WASHINGTON, DC, 20016","-77.1033,38.934067",76219898,R
1422,"148 G ST SW, Washington, DC, 20024",Match,Exact,"148 G St SW, WASHINGTON, DC, 20024","-77.01331,38.88127",611114191,L
3291,"2803 OLIVE ST NW, Washington, DC, 20007",Match,Non_Exact,"2803 Olive Ave NW, WASHINGTON, DC, 20007","-77.05712,38.9061",76225007,R
6882,"6001 32ND ST NW, Washington, DC, 20015",Match,Exact,"6001 32nd St NW, WASHINGTON, DC, 20015","-77.06386,38.969017",76219322,R
934,"1336 TAYLOR ST NW, Washington, DC, 20011",Match,Exact,"1336 Taylor St NW, WASHINGTON, DC, 20011","-77.03085,38.940792",76222489,L
8027,"918 44TH ST NE, Washington, DC, 20019",Match,Exact,"918 44th St NE, WASHINGTON, DC, 20019","-76.9392,38.90177",76233264,L
1429,"15 BROWNS CT SE, Washington, DC, 20003",Match,Exact,"15 Browns Ct SE, WASHINGTON, DC, 20003","-76.99833,38.888287",76236638,L
345,"120 3RD ST NE, Washington, DC, 20002",Match,Exact,"120 3rd St NE, WASHINGTON, DC, 20002","-77.00206,38.89119",76229882,L
7338,"657 SOUTH CAROLINA AVE SE, Washington, DC, 20003",Match,Exact,"657 South Carolina Ave SE, WASHINGTON, DC, 20003","-76.99717,38.883575",76230663,R
3490,"3005 STEPHENSON PL NW, Washington, DC, 20015",Match,Exact,"3005 Stephenson Pl NW, WASHINGTON, DC, 20015","-77.060135,38.971336",76219370,R
5359,"4413 SHERIFF RD NE, Washington, DC, 20019",Match,Exact,"4413 Sheriff Rd NE, WASHINGTON, DC, 20019","-76.9385,38.902725",76239807,R
736,"1306 EMERSON ST NW, Washington, DC, 20011",Match,Exact,"1306 Emerson St NW, WASHINGTON, DC, 20011","-77.030075,38.949726",76222427,L
6,"10 GIRARD ST NE, Washington, DC, 20002",Match,Exact,"10 Girard St NE, WASHINGTON, DC, 20002","-77.00878,38.925877",76236901,L
8019,"915 C ST SE, Washington, DC, 20003",Match,Exact,"915 C St SE, WASHINGTON, DC, 20003","-76.99356,38.88602",76230691,R
1814,"1631 D ST NE, Washington, DC, 20002",Match,Exact,"1631 D St NE, WASHINGTON, DC, 20002","-76.98174,38.894764",76230468,R
2945,"2323 17TH ST NW, Washington, DC, 20009",Match,Exact,"2323 17th St NW, WASHINGTON, DC, 20009","-77.03885,38.920856",76223056,R
549,"1234 EUCLID ST NW, Washington, DC, 20009",Match,Exact,"1234 Euclid St NW, WASHINGTON, DC, 20009","-77.02865,38.923748",76224238,L
317,"117 49TH ST NE, Washington, DC, 20019",Match,Exact,"117 49th St NE, WASHINGTON, DC, 20019","-76.93289,38.891",76233571,R
8036,"919 POTOMAC AVE SE, Washington, DC, 20003",Tie,,,,,
2980,"236 JEFFERSON ST NW, Washington, DC, 20011",Match,Exact,"236 Jefferson St NW, WASHINGTON, DC, 20011","-77.01446,38.955524",76223781,L
926,"1335 NORTH CAROLINA AVE NE, Washington, DC, 20002",Match,Exact,"1335 North Carolina Ave NE, WASHINGTON, DC, 20002","-76.98753,38.890892",76237038,R
