ID,Address,Match,MatchDetail,AddMatch,LongLat,N,LR
1410,"1465 MONROE ST NW, Washington, DC, 20010",Match,Exact,"1465 Monroe St NW, WASHINGTON, DC, 20010","-77.03435,38.931812",611109805,R
946,"1338 MERIDIAN PL NW, Washington, DC, 20010",Match,Exact,"1338 Meridian Pl NW, WASHINGTON, DC, 20010","-77.03161,38.933155",76222970,L
1418,"1472 OGDEN ST NW, Washington, DC, 20010",Match,Exact,"1472 Ogden St NW, WASHINGTON, DC, 20010","-77.034386,38.93505",76222933,L
5372,"4415 MACARTHUR BLVD NW, Washington, DC, 20007",Match,Exact,"4415 Macarthur Blvd NW, WASHINGTON, DC, 20007","-77.082245,38.907192",76241558,R
331,"119 4TH ST NE, Washington, DC, 20002",Match,Exact,"119 4th St NE, WASHINGTON, DC, 20002","-77.00056,38.89117",76229906,R
3478,"3001 34TH ST NW, Washington, DC, 20008",Match,Exact,"3001 34th St NW, WASHINGTON, DC, 20008","-77.06638,38.930325",76221100,R
3286,"2801 26TH ST NE, Washington, DC, 20018",Match,Exact,"2801 26th St NE, WASHINGTON, DC, 20018","-76.97012,38.925686",76229286,R
8013,"914 IRVING ST NE, Washington, DC, 20017",Match,Exact,"914 Irving St NE, WASHINGTON, DC, 20017","-76.993515,38.928463",76228536,L
3279,"2758 WOODLEY PL NW, Washington, DC, 20008",Match,Exact,"2758 Woodley Pl NW, WASHINGTON, DC, 20008","-77.052185,38.926773",76222542,L
6869,"5920 2ND PL NW, Washington, DC, 20011",Match,Exact,"5920 2nd Pl NW, WASHINGTON, DC, 20011","-77.014915,38.96164",76223705,L
535,"123 S ST NW, Washington, DC, 20001",Match,Exact,"123 S St NW, WASHINGTON, DC, 20001","-77.012665,38.9141",76224653,R
749,"1309 KENNEDY ST NW, Washington, DC, 20011",Match,Exact,"1309 Kennedy St NW, WASHINGTON, DC, 20011","-77.03015,38.95623",76239195,R
7354,"6631 13TH ST NW, Washington, DC, 20012",Match,Exact,"6631 13th St NW, WASHINGTON, DC, 20012","-77.02967,38.97164",76221788,R
740,"1307 RANDOLPH ST NW, Washington, DC, 20011",Match,Exact,"1307 Randolph St NW, WASHINGTON, DC, 20011","-77.03002,38.93869",76222493,R
2957,"2329 PORTER ST NW, Washington, DC, 20008",Match,Exact,"2329 Porter St NW, WASHINGTON, DC, 20008","-77.051186,38.93402",76222510,R
1827,"1634 3RD ST NW, Washington, DC, 20001",Match,Exact,"1634 3rd St NW, WASHINGTON, DC, 20001","-77.0152,38.91166",76224629,L
6493,"5310 B SE, Washington, DC, 20019",Match,Non_Exact,"5310 B St SE, WASHINGTON, DC, 20019","-76.92553,38.88603",76234241,L
6091,"50335039 SHERIFF RD NE, Washington, DC, 20019",No_Match,,,,,
1426,"15 10TH ST SE, Washington, DC, 20003",Match,Exact,"15 10th St SE, WASHINGTON, DC, 20003","-76.99266,38.88963",76230057,R
931,"1336 JEFFERSON ST NW, Washington, DC, 20011",Match,Exact,"1336 Jefferson St NW, WASHINGTON, DC, 20011","-77.03111,38.955143",76222323,L
3295,"2805 11TH ST NW, Washington, DC, 20001",Match,Exact,"2805 11th St NW, WASHINGTON, DC, 20001","-77.02702,38.925842",76224107,R
342,"12 TUCKERMAN ST NW, Washington, DC, 20011",Match,Exact,"12 Tuckerman St NW, WASHINGTON, DC, 20011","-77.0095,38.967327",632601317,L
3487,"3004 OREGON KNOLLS DR NW, Washington, DC, 20015",Match,Exact,"3004 Oregon Knolls Dr NW, WASHINGTON, DC, 20015","-77.05446,38.975777",76236423,L
5365,"4414 ILLINOIS AVE NW, Washington, DC, 20011",Match,Exact,"4414 Illinois Ave NW, WASHINGTON, DC, 20011","-77.02004,38.944355",76223589,L
8023,"917 E ST SE, Washington, DC, 20003",Match,Exact,"917 E St SE, WASHINGTON, DC, 20003","-76.99354,38.88271",76230704,R
938,"1337 LAWRENCE ST NE, Washington, DC, 20017",Match,Exact,"1337 Lawrence St NE, WASHINGTON, DC, 20017","-76.987724,38.9317",76228742,R
3,"1 MISSOURI AVE NW, Washington, DC, 20011",Match,Exact,"1 Missouri Ave NW, WASHINGTON, DC, 20011","-77.00911,38.954834",76223860,R
6879,"60 SEATON PL NW, Washington, DC, 20001",Match,Exact,"60 Seaton Pl NW, WASHINGTON, DC, 20001","-77.01095,38.91481",76237772,L
542,"1232 HAMILTON ST NW, Washington, DC, 20011",Match,Exact,"1232 Hamilton St NW, WASHINGTON, DC, 20011","-77.028305,38.952892",76223287,L
7343,"6615 WESTERN AVE NW, Washington, DC, 20015",Match,Exact,"6615 Western Ave NW, WASHINGTON, DC, 20015","-77.06545,38.976597",62067031,R
2942,"232 TUCKERMAN ST NW, Washington, DC, 20011",Match,Exact,"232 Tuckerman St NW, WASHINGTON, DC, 20011","-77.01486,38.967274",76222065,L
3494,"3007 P ST NW, Washington, DC, 20007",Match,Exact,"3007 P St NW, WASHINGTON, DC, 20007","-77.05952,38.909325",76224963,R
1818,"1631 NEW JERSEY AVE NW, Washington, DC, 20001",Match,Exact,"1631 New Jersey Ave NW, WASHINGTON, DC, 20001","-77.01709,38.911907",76224476,R
733,"1305 RITTENHOUSE ST NW, Washington, DC, 20011",Match,Exact,"1305 Rittenhouse St NW, WASHINGTON, DC, 20011","-77.03003,38.965446",76221645,R
2949,"2325 ASHMEAD PL NW, Washington, DC, 20009",Match,Exact,"2325 Ashmead Pl NW, WASHINGTON, DC, 20009","-77.04797,38.919235",76222705,R
1437,"15 RHODE ISLAND AVE NW, Washington, DC, 20001",Match,Exact,"15 Rhode Island Ave NW, WASHINGTON, DC, 20001","-77.009605,38.916626",76224680,R
6084,"5030 B ST SE, Washington, DC, 20019",Match,Exact,"5030 B St SE, WASHINGTON, DC, 20019","-76.92963,38.886578",76233627,L
314,"116 SEATON PL NW, Washington, DC, 20001",Match,Exact,"116 Seaton Pl NW, WASHINGTON, DC, 20001","-77.012596,38.914814",76224624,L
5356,"4412 VOLTA PL NW, Washington, DC, 20007",Match,Exact,"4412 Volta Pl NW, WASHINGTON, DC, 20007","-77.08101,38.90963",76224776,L
8033,"919 4TH ST SE, Washington, DC, 20003",Match,Exact,"919 4th St SE, WASHINGTON, DC, 20003","-77.0006,38.879093",76230630,R
7328,"6548 EASTERN AVE NE, Washington, DC, 20012",Match,Exact,"6548 Eastern Ave NE, WASHINGTON, DC, 20012","-77.00781,38.970028",62068899,L
923,"1335 E ST SE, Washington, DC, 20003",Match,Exact,"1335 E St SE, WASHINGTON, DC, 20003","-76.98693,38.882828",76236013,R
6893,"601 G ST SW, Washington, DC, 20024",Match,Exact,"601 G St SW, WASHINGTON, DC, 20024","-77.02072,38.881298",76238526,R
