"","FlippedHomes2011$Address","city","state","zip"
"1001","613 SHERIDAN ST NW","Washington","DC",20011
"1002","614 11TH ST NE","Washington","DC",20002
"1003","614 4TH ST NE","Washington","DC",20002
"1004","614 JEFFERSON ST NW","Washington","DC",20011
"1005","614 MADISON ST NW","Washington","DC",20011
"1006","614 ROXBORO PL NW","Washington","DC",20011
"1007","614 TEWKESBURY PL NW","Washington","DC",20012
"1008","615 11TH ST NE","Washington","DC",20002
"1009","615 COLUMBIA RD NW","Washington","DC",20001
"1010","615 GRESHAM PL NW","Washington","DC",20001
"1011","615 HAMILTON ST NW","Washington","DC",20011
"1012","615 QUINTANA PL NW","Washington","DC",20011
"1013","615 ROCK CREEK CHURCH RD NW","Washington","DC",20010
"1014","616 6TH ST NE","Washington","DC",20002
"1015","616 INGRAHAM ST NW","Washington","DC",20011
"1016","617 POWHATAN PL NW","Washington","DC",20011
"1017","619 GIRARD ST NE","Washington","DC",20017
"1018","619 IRVING ST NW","Washington","DC",20010
"1019","6200 7TH ST NW","Washington","DC",20011
"1020","6200 7TH ST NW","Washington","DC",20011
"1021","6205 12TH ST NW","Washington","DC",20011
"1022","6209 12TH ST NW","Washington","DC",20011
"1023","621 HAMILTON ST NW","Washington","DC",20011
"1024","6217 14TH ST NW","Washington","DC",20011
"1025","622 9TH ST NE","Washington","DC",20002
"1026","622 INGRAHAM ST NW","Washington","DC",20011
"1027","6227 4TH ST NW","Washington","DC",20011
"1028","623 6TH ST NE","Washington","DC",20002
"1029","623 IRVING ST NW","Washington","DC",20010
"1030","623 LAMONT ST NW","Washington","DC",20010
"1031","625 LONGFELLOW ST NW","Washington","DC",20011
"1032","626 9TH ST NE","Washington","DC",20002
"1033","626 FRANKLIN ST NE","Washington","DC",20017
"1034","627 3RD ST NE","Washington","DC",20002
"1035","627 M ST NE","Washington","DC",20002
"1036","629 KENYON ST NW","Washington","DC",20010
"1037","63 NEW YORK AVE NW","Washington","DC",20001
"1038","630 QUEBEC PL NW","Washington","DC",20010
"1039","6305 KANSAS AVE NE","Washington","DC",20011
