,,,,,,,,
,7877,"826 XENIA ST SE, Washington, DC, 20032",,,,,,
,51,"1011 EAST CAPITOL ST SE, Washington, DC, 20003",,,,,,
,7427,"707 EAST CAPITOL ST SE, Washington, DC, 20003",,,,,,
,,"ShortSaleZip$Address, city, state, zip",,,,,,
,2,"1 DERBY LN SE, Washington, DC, 20003",,,,,,
,1817,"1631 MONROE ST NW, Washington, DC, 20010",,,,,,
,6892,"601 21ST ST NE, Washington, DC, 20002",,,,,,
,4963,"4131/2 5TH ST NE, Washington, DC, 20002",,,,,,
,305,"115 WALTMAN PL NE, Washington, DC, 20011",,,,,,
,1202,"1413 RIDGEVIEW WAY NW, Washington, DC, 20007",,,,,,
,3204,"2670 MARTIN LUTHER KING JR AVE SE, Washington, DC, 20020",,,,,,
,2773,"221 44TH ST NE, Washington, DC, 20019",,,,,,
,7067,"619 16TH ST NE, Washington, DC, 20002",,,,,,
,1188,"1411 RIDGEVIEW WAY NW, Washington, DC, 20007",,,,,,
,6217,"5116 CAPITOL ST NW, Washington, DC, 20011",,,,,,
,7730,"8 N ST SW, Washington, DC, 20024",,,,,,
,2488,"1946 2ND ST NW, Washington, DC, 20001",,,,,,
,3972,"3272 THEODORE R HAGANS DR NE, Washington, DC, 20018",,,,,,
,2495,"2 6TH ST NE, Washington, DC, 20002",,,,,,
,4403,"3616 DAVIS ST NW, Washington, DC, 20007",,,,,,
,1387,"1450 T ST NW, Washington, DC, 20009",,,,,,
,5558,"4524 WESTHALL DR NW, Washington, DC, 20007",,,,,,
,5596,"4561 NORTH CAPITOL ST NE, Washington, DC, 20011",,,,,,
,5189,"4307 18TH ST NE, Washington, DC, 20018",,,,,,
,3368,"2879 CHANCELLOR'S WAY NE, Washington, DC, 20017",,,,,,
,2237,"18151/2 EAST CAPITOL ST SE, Washington, DC, 20003",,,,,,
,2661,"21151/2 S ST NW, Washington, DC, 20008",,,,,,
,3130,"2512 RALPH ELLISON WAY NE, Washington, DC, 20018",,,,,,
,2278,"1824 TUBMAN RD SE, Washington, DC, 20020",,,,,,
,4392,"3614 GRANT PL NE, Washington, DC, 20019",,,,,,
,4376,"3608 WRIGHT TRL NE, Washington, DC, 20018",,,,,,
,3841,"3208 THEODORE R HAGANS DR NE, Washington, DC, 20018",,,,,,
,4369,"3604 RESERVOIR RD NW, Washington, DC, 20007",,,,,,
,2306,"1833 PRIMROSE RD NW, Washington, DC, 20012",,,,,,
,3825,"3203 THEODORE R HAGANS DR NE, Washington, DC, 20018",,,,,,
,4563,"3752 CUMBERLAND ST NW, Washington, DC, 20016",,,,,,
,5411,"443 KENYON ST NW, Washington, DC, 20010",,,,,,
,7669,"757 GALLATIN ST NE, Washington, DC, 20017",,,,,,
,4528,"3725 CASSELL PL NE, Washington, DC, 20019",,,,,,
,277,"1137 7TH ST NE, Washington, DC, 20002",,,,,,
,2390,"1901 9 1/2 ST NW, Washington, DC, 20001",,,,,,
