"","subhood","propsale","propflipR","flipProp","flipPropPer"
"8","Brightwood Park",92,21,22.8260869565217,"22.83%"
"25","Edgewood",120,25,20.8333333333333,"20.83%"
"12","Carver Langston",145,30,20.6896551724138,"20.69%"
"24","Eckington",243,49,20.1646090534979,"20.16%"
"100","Woodridge",308,60,19.4805194805195,"19.48%"
"84","Stronghold",57,11,19.2982456140351,"19.3%"
"68","Petworth",920,177,19.2391304347826,"19.24%"
"88","Trinidad",301,55,18.2724252491694,"18.27%"
"3","Barney Circle",33,6,18.1818181818182,"18.18%"
"47","Manor Park",181,32,17.6795580110497,"17.68%"
"89","Truxton Circle",177,30,16.9491525423729,"16.95%"
"54","Mt. Vernon Square",36,6,16.6666666666667,"16.67%"
"43","Langdon",137,22,16.0583941605839,"16.06%"
"7","Brightwood",355,57,16.056338028169,"16.06%"
"6","Brentwood",63,10,15.8730158730159,"15.87%"
"52","Michigan Park",59,9,15.2542372881356,"15.25%"
"41","Kingman Park",360,52,14.4444444444444,"14.44%"
"5","Bloomingdale",259,34,13.1274131274131,"13.13%"
"67","Park View",261,34,13.0268199233716,"13.03%"
"73","Riggs Park",216,28,12.962962962963,"12.96%"
